cod_mun,lat,lon,municipio
520005,-16.788899999999998,-49.4618,ABADIA DE GOIAS
520010,-16.1676,-48.67575,ABADIANIA
520013,-17.42435,-50.3128,ACREUNA
520015,-16.38255,-50.1924,ADELANDIA
520017,-14.894950000000001,-47.78385,AGUA FRIA DE GOIAS
520020,-18.07485,-48.7888,AGUA LIMPA
520025,-15.744900000000001,-48.29285,AGUAS LINDAS DE GOIAS
520030,-16.1159,-48.486599999999996,ALEXANIA
520050,-17.69275,-49.462450000000004,ALOANDIA
520055,-14.17885,-49.4343,ALTO HORIZONTE
520060,-14.162099999999999,-47.52305,ALTO PARAISO DE GOIAS
520080,-14.56765,-46.640249999999995,ALVORADA DO NORTE
520082,-13.8403,-49.59955,AMARALINA
520085,-16.276400000000002,-49.987849999999995,AMERICANO DO BRASIL
520090,-16.65975,-51.120400000000004,AMORINOPOLIS
520110,-16.306,-48.97255,ANAPOLIS
520120,-18.310299999999998,-48.225300000000004,ANHANGUERA
520130,-16.4025,-49.9572,ANICUNS
520140,-16.8119,-49.2619,APARECIDA DE GOIANIA
520145,-18.2193,-51.28305,APARECIDA DO RIO DOCE
520150,-18.8052,-52.08305,APORE
520160,-16.36665,-49.7118,ARACU
520170,-15.988050000000001,-52.10625,ARAGARCAS
520180,-16.939500000000002,-49.4236,ARAGOIANIA
520215,-15.1363,-50.43365,ARAGUAPAZ
520235,-16.346200000000003,-51.603849999999994,ARENOPOLIS
520250,-14.7161,-50.959450000000004,ARUANA
520260,-16.6772,-50.5108,AURILANDIA
520280,-16.48885,-49.768249999999995,AVELINOPOLIS
520310,-16.340400000000002,-52.444649999999996,BALIZA
520320,-14.905850000000001,-48.89685,BARRO ALTO
520330,-16.97305,-48.89585,BELA VISTA DE GOIAS
520340,-16.1914,-52.071,BOM JARDIM DE GOIAS
520350,-18.1939,-49.86525,BOM JESUS DE GOIAS
520355,-16.59505,-49.0141,BONFINOPOLIS
520357,-13.540600000000001,-49.896550000000005,BONOPOLIS
520360,-16.371699999999997,-49.3735,BRAZABRANTES
520380,-15.202950000000001,-51.16765,BRITANIA
520390,-18.13615,-49.0297,BURITI ALEGRE
520393,-16.1699,-50.45675,BURITI DE GOIAS
520396,-14.396999999999998,-46.31555,BURITINOPOLIS
520400,-15.74715,-46.99225,CABECEIRAS
520410,-18.60745,-50.9957,CACHOEIRA ALTA
520420,-16.7106,-50.69965,CACHOEIRA DE GOIAS
520425,-18.47795,-49.6001,CACHOEIRA DOURADA
520430,-18.733800000000002,-51.08775,CACU
520440,-16.97775,-51.7423,CAIAPONIA
520450,-17.770850000000003,-48.69085,CALDAS NOVAS
520455,-16.7288,-48.95965,CALDAZINHA
520460,-16.7866,-49.6901,CAMPESTRE DE GOIAS
520465,-13.887,-48.55185,CAMPINACU
520470,-14.0103,-48.92895,CAMPINORTE
520480,-17.5364,-47.75345,CAMPO ALEGRE DE GOIAS
520485,-16.285899999999998,-49.1101,CAMPO LIMPO DE GOIAS
520490,-12.9652,-46.4839,CAMPOS BELOS
520495,-14.1799,-49.6575,CAMPOS VERDES
520500,-15.42005,-49.73995,CARMO DO RIO VERDE
520505,-18.1467,-50.375299999999996,CASTELANDIA
520510,-17.97855,-47.719350000000006,CATALAO
520520,-16.45325,-49.5723,CATURAI
520530,-13.639700000000001,-47.724199999999996,CAVALCANTE
520540,-15.27175,-49.66,CERES
520545,-17.10235,-49.74985,CEZARINA
520547,-18.38125,-52.581999999999994,CHAPADAO DO CEU
520549,-16.151600000000002,-47.823350000000005,CIDADE OCIDENTAL
520551,-15.63905,-48.5542,COCALZINHO DE GOIAS
520552,-13.98585,-48.093,COLINAS DO SUL
520570,-16.35905,-50.5713,CORREGO DO OURO
520580,-15.95005,-48.65745,CORUMBA DE GOIAS
520590,-18.106949999999998,-48.6075,CORUMBAIBA
520620,-16.69965,-47.516000000000005,CRISTALINA
520630,-17.241500000000002,-48.69175,CRISTIANOPOLIS
520640,-14.6244,-50.069900000000004,CRIXAS
520650,-17.2512,-49.3668,CROMINIA
520660,-18.31785,-48.14685,CUMARI
520670,-14.5555,-46.1747,DAMIANOPOLIS
520680,-16.251800000000003,-49.339349999999996,DAMOLANDIA
