cod_mun,ano_mes,pct_farming,pct_forest,pct_non_forest_natural_formation,pct_non_vegetated_area,pct_water_and_marine_environment
520005,1985-01,72.5959,24.4408,1.6154,1.1883,0.1596
520005,1986-01,74.3381,23.1725,1.1869,1.1459,0.1566
520005,1987-01,75.7606,21.8086,1.1677,1.1047,0.1584
520005,1988-01,76.3828,21.2551,1.1408,1.061,0.1602
520005,1989-01,76.8215,20.8846,1.1146,1.0192,0.1602
520005,1990-01,77.357,20.4537,1.0924,0.9325,0.1644
520005,1991-01,77.9535,20.0269,0.9789,0.8632,0.1775
520005,1992-01,78.4006,19.6737,0.8892,0.856,0.1805
520005,1993-01,79.2499,18.6791,0.8713,1.0126,0.1871
520005,1994-01,79.7675,18.0485,0.8104,1.171,0.2026
520005,1995-01,80.1501,17.4651,0.7912,1.3814,0.2122
520005,1996-01,80.6361,16.8979,0.7757,1.4776,0.2128
520005,1997-01,81.0287,16.5464,0.7643,1.4495,0.211
520005,1998-01,81.5553,16.0976,0.7613,1.3568,0.2289
520005,1999-01,81.786,15.9637,0.6801,1.3192,0.251
520005,2000-01,82.23,15.6309,0.6233,1.3281,0.1877
520005,2001-01,82.2198,15.6721,0.5833,1.3449,0.1799
520005,2002-01,82.2521,15.5819,0.5677,1.4005,0.1978
520005,2003-01,82.1636,15.6046,0.5361,1.4848,0.211
520005,2004-01,81.7661,15.7211,0.502,1.7932,0.2176
520005,2005-01,81.0161,16.2219,0.4656,2.0747,0.2217
520005,2006-01,80.6725,16.2697,0.4614,2.3669,0.2295
520005,2007-01,80.4579,16.296,0.45,2.554,0.2421
520005,2008-01,80.2403,16.452,0.4482,2.6281,0.2313
520005,2009-01,80.1512,16.4741,0.4476,2.7052,0.2217
520005,2010-01,79.9868,16.412,0.4399,2.9485,0.2128
520005,2011-01,79.3898,16.5004,0.4273,3.4774,0.205
520005,2012-01,78.6063,16.4676,0.3974,4.3249,0.2038
520005,2013-01,77.8042,16.6289,0.3144,5.0762,0.1763
520005,2014-01,77.4079,16.7048,0.2958,5.4175,0.1739
520005,2015-01,76.7857,16.8064,0.2815,5.9423,0.1841
520005,2016-01,75.9496,17.0676,0.2833,6.5274,0.1721
520005,2017-01,75.2551,17.2547,0.2779,7.0312,0.1811
520005,2018-01,74.5481,17.4322,0.2683,7.5559,0.1954
520005,2019-01,74.1017,17.4543,0.2636,7.985,0.1954
