cod_mun,ano_mes,pct_territorio_queimado
520005,2017-01,0.4978
520005,2018-01,0.624
520005,2020-01,0.4652
520005,2021-01,0.6561
520005,2022-01,0.0691
520005,2023-01,0.1362
520005,2024-01,1.2751
520005,2025-01,
520010,2017-01,0.5258
520010,2018-01,0.1268
520010,2020-01,0.964
520010,2021-01,0.4461
520010,2022-01,0.1616
520010,2023-01,0.0482
520010,2024-01,0.338
520010,2025-01,
520013,2017-01,1.5144
520013,2018-01,0.4296
520013,2020-01,0.7711
520013,2021-01,0.2714
520013,2022-01,1.5951
520013,2023-01,0.1015
520013,2024-01,0.6412
520013,2025-01,
520015,2017-01,0.2887
520015,2018-01,0.0952
520015,2020-01,0.5064
520015,2021-01,0.3511
520015,2022-01,0.884
520015,2023-01,0.0944
520015,2024-01,0.1287
520015,2025-01,
520017,2017-01,2.8069
520017,2018-01,1.3832
520017,2020-01,1.1243
520017,2021-01,8.7206
520017,2022-01,1.2303
520017,2023-01,2.0835
520017,2024-01,1.5607
520017,2025-01,
520020,2017-01,0.0
520020,2018-01,0.0133
520020,2020-01,0.0041
520020,2021-01,0.0
520020,2022-01,0.0
520020,2023-01,0.0039
520020,2024-01,0.1695
520020,2025-01,
520025,2017-01,7.2251
520025,2018-01,3.1633
520025,2020-01,4.9378
520025,2021-01,7.0088
520025,2022-01,4.6685
520025,2023-01,3.96
520025,2024-01,5.5435
520025,2025-01,
520030,2017-01,0.4995
520030,2018-01,0.028
520030,2020-01,0.5036
520030,2021-01,0.0918
520030,2022-01,0.039
520030,2023-01,0.0964
520030,2024-01,0.3413
520030,2025-01,
520050,2017-01,0.164
520050,2018-01,0.0
520050,2020-01,0.0
520050,2021-01,0.0
520050,2022-01,0.0
520050,2023-01,0.0
520050,2024-01,0.7961
520050,2025-01,
520055,2017-01,1.63
520055,2018-01,0.0644
520055,2020-01,0.3812
520055,2021-01,0.0912
520055,2022-01,0.2346
520055,2023-01,0.0219
520055,2024-01,0.1596
520055,2025-01,
520060,2017-01,14.7328
520060,2018-01,1.6426
520060,2020-01,4.3879
520060,2021-01,9.9003
520060,2022-01,7.4172
520060,2023-01,6.1016
520060,2024-01,5.2216
520060,2025-01,
520080,2017-01,1.7463
520080,2018-01,3.9421
520080,2020-01,0.5818
520080,2021-01,2.719
520080,2022-01,4.1045
520080,2023-01,2.7533
520080,2024-01,0.1931
520080,2025-01,
520082,2017-01,1.473
520082,2018-01,1.8361
520082,2020-01,0.5575
520082,2021-01,0.3792
520082,2022-01,0.1499
520082,2023-01,0.1709
520082,2024-01,0.0322
520082,2025-01,
520085,2017-01,0.1782
520085,2018-01,0.6851
520085,2020-01,0.3476
520085,2021-01,0.0726
520085,2022-01,0.5897
520085,2023-01,0.3133
520085,2024-01,1.4126
520085,2025-01,
520090,2017-01,0.5162
520090,2018-01,0.0586
520090,2020-01,1.0057
520090,2021-01,0.1685
520090,2022-01,0.3247
520090,2023-01,0.226
520090,2024-01,0.4189
520090,2025-01,
520110,2017-01,1.4112
520110,2018-01,0.8908
520110,2020-01,1.0496
520110,2021-01,1.1675
520110,2022-01,1.3291
520110,2023-01,0.574
520110,2024-01,1.113
520110,2025-01,
520120,2017-01,0.0
520120,2018-01,0.0
520120,2020-01,0.0
520120,2021-01,0.2802
520120,2022-01,0.0259
520120,2023-01,0.0
520120,2024-01,0.0259
520120,2025-01,
520130,2017-01,0.9667
520130,2018-01,0.5363
520130,2020-01,0.9799
520130,2021-01,0.7767
520130,2022-01,0.6258
520130,2023-01,0.6823
520130,2024-01,0.8717
520130,2025-01,
520140,2017-01,0.7025
520140,2018-01,0.6864
520140,2020-01,0.5742
520140,2021-01,0.4784
520140,2022-01,0.1958
520140,2023-01,0.2045
520140,2024-01,1.4506
520140,2025-01,
520145,2017-01,0.0157
520145,2018-01,0.0
520145,2020-01,0.1422
520145,2021-01,0.095
520145,2022-01,0.024
520145,2023-01,0.2108
520145,2024-01,0.063
520145,2025-01,
520150,2017-01,0.1781
520150,2018-01,0.1353
520150,2020-01,0.1035
520150,2021-01,0.2912
520150,2022-01,0.0656
520150,2023-01,0.0885
520150,2024-01,1.0398
520150,2025-01,
520160,2017-01,0.3996
520160,2018-01,0.0967
520160,2020-01,0.0258
520160,2021-01,1.7
520160,2022-01,0.0
520160,2023-01,0.0264
520160,2024-01,0.9885
520160,2025-01,
520170,2017-01,5.0593
520170,2018-01,0.5728
520170,2020-01,1.3382
520170,2021-01,1.9004
520170,2022-01,0.4052
520170,2023-01,0.3251
520170,2024-01,0.9272
520170,2025-01,
520180,2017-01,0.059
520180,2018-01,0.1663
520180,2020-01,0.3103
520180,2021-01,0.0375
520180,2022-01,0.0
520180,2023-01,0.0441
520180,2024-01,0.8215
520180,2025-01,
520215,2017-01,0.2053
520215,2018-01,0.1606
520215,2020-01,0.5589
520215,2021-01,4.1282
520215,2022-01,0.2853
520215,2023-01,0.2384
520215,2024-01,0.3177
520215,2025-01,
520235,2017-01,0.4257
520235,2018-01,0.0772
520235,2020-01,0.5555
520235,2021-01,0.5823
520235,2022-01,0.1079
520235,2023-01,0.1906
520235,2024-01,0.23
520235,2025-01,
520250,2017-01,0.3746
520250,2018-01,0.1288
520250,2020-01,0.3135
520250,2021-01,0.1135
520250,2022-01,0.0894
520250,2023-01,0.1437
520250,2024-01,0.1416
520250,2025-01,
520260,2017-01,0.1122
520260,2018-01,0.1397
520260,2020-01,0.497
520260,2021-01,0.5078
520260,2022-01,0.7238
520260,2023-01,0.2115
520260,2024-01,0.1499
520260,2025-01,
520280,2017-01,0.0
520280,2018-01,0.7095
520280,2020-01,2.1339
520280,2021-01,0.4436
520280,2022-01,0.276
520280,2023-01,0.019
520280,2024-01,0.0
520280,2025-01,
520310,2017-01,3.7556
520310,2018-01,0.7043
520310,2020-01,0.1778
520310,2021-01,1.4089
520310,2022-01,0.2582
520310,2023-01,0.782
520310,2024-01,4.7596
520310,2025-01,
520320,2017-01,6.8349
520320,2018-01,2.39
520320,2020-01,6.1628
520320,2021-01,3.0218
520320,2022-01,4.964
520320,2023-01,4.0424
520320,2024-01,11.2434
520320,2025-01,
520330,2017-01,0.3983
520330,2018-01,0.2963
520330,2020-01,0.344
520330,2021-01,0.1458
520330,2022-01,0.1582
520330,2023-01,0.0675
520330,2024-01,0.5894
520330,2025-01,
520340,2017-01,0.3403
520340,2018-01,2.533
520340,2020-01,0.416
520340,2021-01,5.9728
520340,2022-01,0.3759
520340,2023-01,0.1152
520340,2024-01,2.222
520340,2025-01,
520350,2017-01,0.7756
520350,2018-01,0.4713
520350,2020-01,0.2798
520350,2021-01,0.8421
520350,2022-01,1.6771
520350,2023-01,0.8135
520350,2024-01,2.3277
520350,2025-01,
520355,2017-01,0.3101
520355,2018-01,0.0192
520355,2020-01,0.6172
520355,2021-01,0.1063
520355,2022-01,0.5935
520355,2023-01,0.0605
520355,2024-01,0.3078
520355,2025-01,
520357,2017-01,0.4568
520357,2018-01,0.0293
520357,2020-01,0.419
520357,2021-01,0.8728
520357,2022-01,0.2778
520357,2023-01,0.0229
520357,2024-01,0.08
520357,2025-01,
520360,2017-01,0.2198
520360,2018-01,0.1106
520360,2020-01,0.9481
520360,2021-01,0.1903
520360,2022-01,0.3311
520360,2023-01,0.2966
520360,2024-01,0.8892
520360,2025-01,
520380,2017-01,0.4293
520380,2018-01,0.0848
520380,2020-01,0.3207
520380,2021-01,0.4053
520380,2022-01,0.1629
520380,2023-01,0.076
520380,2024-01,1.0483
520380,2025-01,
520390,2017-01,0.6706
520390,2018-01,0.0203
520390,2020-01,0.2492
520390,2021-01,0.1817
520390,2022-01,0.0308
520390,2023-01,0.0261
520390,2024-01,0.2984
520390,2025-01,
520393,2017-01,4.993
520393,2018-01,0.2422
520393,2020-01,0.0071
520393,2021-01,0.7309
520393,2022-01,0.5714
520393,2023-01,0.0582
520393,2024-01,3.8022
520393,2025-01,
520396,2017-01,0.094
520396,2018-01,0.3357
520396,2020-01,0.6766
520396,2021-01,0.068
520396,2022-01,0.1031
520396,2023-01,0.1203
520396,2024-01,0.0
520396,2025-01,
520400,2017-01,0.4888
520400,2018-01,0.3575
520400,2020-01,0.8115
520400,2021-01,0.4677
520400,2022-01,0.1377
520400,2023-01,0.47
520400,2024-01,0.4468
520400,2025-01,
520410,2017-01,0.3684
520410,2018-01,0.5708
520410,2020-01,0.5329
520410,2021-01,0.3331
520410,2022-01,0.195
520410,2023-01,0.0387
520410,2024-01,1.1225
520410,2025-01,
520420,2017-01,0.177
520420,2018-01,0.0785
520420,2020-01,1.6237
520420,2021-01,0.1955
520420,2022-01,0.0199
520420,2023-01,0.2828
520420,2024-01,0.0
520420,2025-01,
520425,2017-01,2.0066
520425,2018-01,2.1165
520425,2020-01,1.6859
520425,2021-01,4.1119
520425,2022-01,2.6141
520425,2023-01,0.1957
520425,2024-01,5.2128
520425,2025-01,
520430,2017-01,0.7764
520430,2018-01,0.1082
520430,2020-01,0.6258
520430,2021-01,0.1916
520430,2022-01,0.5924
520430,2023-01,0.4216
520430,2024-01,0.5982
520430,2025-01,
520440,2017-01,0.1088
520440,2018-01,0.0288
520440,2020-01,0.1523
520440,2021-01,0.0566
520440,2022-01,0.0833
520440,2023-01,0.0597
520440,2024-01,0.1903
520440,2025-01,
520450,2017-01,0.118
520450,2018-01,0.0814
520450,2020-01,0.048
520450,2021-01,0.0272
520450,2022-01,0.1447
520450,2023-01,0.0121
520450,2024-01,0.0744
520450,2025-01,
520455,2017-01,0.0282
520455,2018-01,0.0
520455,2020-01,0.7133
520455,2021-01,0.0672
520455,2022-01,0.1863
520455,2023-01,0.0086
520455,2024-01,0.0744
520455,2025-01,
520460,2017-01,0.2128
520460,2018-01,0.1577
520460,2020-01,0.2036
520460,2021-01,0.062
520460,2022-01,0.132
520460,2023-01,0.0053
520460,2024-01,0.0719
520460,2025-01,
520465,2017-01,9.324
520465,2018-01,0.1595
520465,2020-01,0.5109
520465,2021-01,2.3962
520465,2022-01,2.1498
520465,2023-01,1.0993
520465,2024-01,0.5304
520465,2025-01,
520470,2017-01,1.9654
520470,2018-01,0.5254
520470,2020-01,0.2149
520470,2021-01,1.0988
520470,2022-01,2.0016
520470,2023-01,0.7477
520470,2024-01,0.0949
520470,2025-01,
520480,2017-01,0.4655
520480,2018-01,0.0933
520480,2020-01,0.2938
520480,2021-01,0.3175
520480,2022-01,0.0692
520480,2023-01,0.0829
520480,2024-01,0.1669
520480,2025-01,
520485,2017-01,0.9115
520485,2018-01,1.4396
520485,2020-01,0.9593
520485,2021-01,1.7209
520485,2022-01,2.3015
520485,2023-01,2.8526
520485,2024-01,0.7045
520485,2025-01,
520490,2017-01,2.8297
520490,2018-01,0.8158
520490,2020-01,1.7168
520490,2021-01,11.0729
520490,2022-01,0.7791
520490,2023-01,2.874
520490,2024-01,1.1761
520490,2025-01,
520495,2017-01,0.0217
520495,2018-01,0.0067
520495,2020-01,0.1395
520495,2021-01,0.0408
520495,2022-01,0.0414
520495,2023-01,0.0061
520495,2024-01,0.0167
520495,2025-01,
520500,2017-01,1.2444
520500,2018-01,1.3212
520500,2020-01,1.4348
520500,2021-01,0.4131
520500,2022-01,1.3158
520500,2023-01,1.2339
520500,2024-01,0.6065
520500,2025-01,
520505,2017-01,2.3466
520505,2018-01,3.0655
520505,2020-01,0.7358
520505,2021-01,1.27
520505,2022-01,3.8945
520505,2023-01,0.5616
520505,2024-01,0.7117
520505,2025-01,
520510,2017-01,0.261
520510,2018-01,0.1386
520510,2020-01,0.1335
520510,2021-01,0.2346
520510,2022-01,0.2052
520510,2023-01,0.0171
520510,2024-01,0.1152
520510,2025-01,
520520,2017-01,0.2511
520520,2018-01,0.2959
520520,2020-01,0.3599
520520,2021-01,0.5254
520520,2022-01,0.0439
520520,2023-01,0.5483
520520,2024-01,0.3011
520520,2025-01,
520530,2017-01,17.9083
520530,2018-01,1.3979
520530,2020-01,9.2933
520530,2021-01,11.152
520530,2022-01,9.2002
520530,2023-01,5.0806
520530,2024-01,2.436
520530,2025-01,
520540,2017-01,1.1438
520540,2018-01,0.9554
520540,2020-01,1.164
520540,2021-01,1.6358
520540,2022-01,1.798
520540,2023-01,1.6227
520540,2024-01,1.1003
520540,2025-01,
520545,2017-01,0.89
520545,2018-01,1.0661
520545,2020-01,0.2385
520545,2021-01,0.3319
520545,2022-01,0.1824
520545,2023-01,0.0166
520545,2024-01,0.0965
520545,2025-01,
520547,2017-01,3.1115
520547,2018-01,0.4621
520547,2020-01,7.2915
520547,2021-01,1.0112
520547,2022-01,1.6594
520547,2023-01,0.5384
520547,2024-01,7.0521
520547,2025-01,
520549,2017-01,0.8153
520549,2018-01,0.4254
520549,2020-01,0.3393
520549,2021-01,1.1357
520549,2022-01,0.3525
520549,2023-01,0.2361
520549,2024-01,0.4127
520549,2025-01,
520551,2017-01,3.1462
520551,2018-01,1.1199
520551,2020-01,1.1576
520551,2021-01,1.2113
520551,2022-01,0.7094
520551,2023-01,0.2519
520551,2024-01,1.1992
520551,2025-01,
520552,2017-01,16.8657
520552,2018-01,0.9997
520552,2020-01,2.3188
520552,2021-01,5.6065
520552,2022-01,1.9986
520552,2023-01,1.8631
520552,2024-01,3.5657
520552,2025-01,
520570,2017-01,0.1631
520570,2018-01,0.1861
520570,2020-01,0.0094
520570,2021-01,0.102
520570,2022-01,0.0
520570,2023-01,0.0
520570,2024-01,0.0438
520570,2025-01,
520580,2017-01,2.4708
520580,2018-01,0.3305
520580,2020-01,0.8234
520580,2021-01,0.4521
520580,2022-01,0.3059
520580,2023-01,0.1839
520580,2024-01,1.5676
520580,2025-01,
520590,2017-01,0.2702
520590,2018-01,0.0159
520590,2020-01,0.1132
520590,2021-01,0.0372
520590,2022-01,0.0451
520590,2023-01,0.0173
520590,2024-01,0.2996
520590,2025-01,
520620,2017-01,1.1856
520620,2018-01,0.3508
520620,2020-01,0.8783
520620,2021-01,1.0229
520620,2022-01,0.6439
520620,2023-01,0.3126
520620,2024-01,1.3907
520620,2025-01,
520630,2017-01,0.0191
520630,2018-01,0.318
520630,2020-01,0.0747
520630,2021-01,0.2225
520630,2022-01,0.0175
520630,2023-01,0.0613
520630,2024-01,0.363
520630,2025-01,
520640,2017-01,0.839
520640,2018-01,0.214
520640,2020-01,0.2733
520640,2021-01,3.7559
520640,2022-01,0.4075
520640,2023-01,0.2251
520640,2024-01,0.1113
520640,2025-01,
520650,2017-01,0.0797
520650,2018-01,0.0187
520650,2020-01,0.2106
520650,2021-01,0.3731
520650,2022-01,0.0794
520650,2023-01,0.0767
520650,2024-01,0.1238
520650,2025-01,
520660,2017-01,0.0071
520660,2018-01,0.0143
520660,2020-01,0.5053
520660,2021-01,0.1104
520660,2022-01,0.0
520660,2023-01,0.0162
520660,2024-01,0.0198
520660,2025-01,
520670,2017-01,0.3112
520670,2018-01,0.4879
520670,2020-01,0.2491
520670,2021-01,0.5528
520670,2022-01,1.1118
520670,2023-01,0.0052
520670,2024-01,0.1593
520670,2025-01,
520680,2017-01,0.3158
520680,2018-01,0.0627
520680,2020-01,0.2029
520680,2021-01,0.1579
520680,2022-01,0.2248
520680,2023-01,0.0575
520680,2024-01,0.0701
520680,2025-01,
520690,2017-01,0.1946
520690,2018-01,0.0076
520690,2020-01,0.0431
520690,2021-01,0.0067
520690,2022-01,0.0602
520690,2023-01,0.0
520690,2024-01,0.0157
520690,2025-01,
520710,2017-01,0.1863
520710,2018-01,0.0926
520710,2020-01,0.8135
520710,2021-01,1.1871
520710,2022-01,0.6684
520710,2023-01,1.1171
520710,2024-01,0.1896
520710,2025-01,
520725,2017-01,0.0649
520725,2018-01,0.0355
520725,2020-01,0.408
520725,2021-01,0.0326
520725,2022-01,0.0256
520725,2023-01,0.0609
520725,2024-01,0.082
520725,2025-01,
520735,2017-01,0.0414
520735,2018-01,0.0162
520735,2020-01,0.003
520735,2021-01,0.0662
520735,2022-01,0.0092
520735,2023-01,0.0024
520735,2024-01,0.9256
520735,2025-01,
520740,2017-01,1.1291
520740,2018-01,0.5596
520740,2020-01,0.8628
520740,2021-01,0.2935
520740,2022-01,0.4592
