cod_mun,municipio,ano_mes,temp_media_c,temp_min_c,temp_max_c,temp_amplitude_c,precip_mm,umidade_relativa_pct
520005,ABADIA DE GOIAS,2017-01,24.38,18.67,34.28,15.61,6.0,77.9
520005,ABADIA DE GOIAS,2017-02,23.49,16.2,30.14,13.94,5.7,81.5
520005,ABADIA DE GOIAS,2017-03,24.41,18.19,31.48,13.29,3.9,77.5
520005,ABADIA DE GOIAS,2017-04,23.7,15.73,31.51,15.78,3.9,78.1
520005,ABADIA DE GOIAS,2017-05,22.96,13.03,31.73,18.7,2.0,71.0
520005,ABADIA DE GOIAS,2017-06,21.91,12.42,32.22,19.8,0.0,59.3
520005,ABADIA DE GOIAS,2017-07,20.42,9.52,31.31,21.79,0.0,47.1
520005,ABADIA DE GOIAS,2017-08,25.17,13.5,36.6,23.1,0.0,35.2
520005,ABADIA DE GOIAS,2017-09,26.53,15.82,37.01,21.19,0.6,31.1
520005,ABADIA DE GOIAS,2017-10,28.14,16.77,40.9,24.13,2.3,43.0
520005,ABADIA DE GOIAS,2017-11,24.2,14.42,31.76,17.34,8.5,77.8
520005,ABADIA DE GOIAS,2017-12,23.88,18.45,30.67,12.22,6.9,82.7
520005,ABADIA DE GOIAS,2017-13,24.1,9.52,40.9,31.38,3.3,63.4
520005,ABADIA DE GOIAS,2018-01,23.97,17.96,32.37,14.41,6.7,78.8
520005,ABADIA DE GOIAS,2018-02,23.78,18.73,30.43,11.7,8.1,82.1
520005,ABADIA DE GOIAS,2018-03,24.07,17.99,30.62,12.63,4.1,82.5
520005,ABADIA DE GOIAS,2018-04,22.09,14.79,28.56,13.77,4.8,83.0
520005,ABADIA DE GOIAS,2018-05,20.44,6.2,28.59,22.39,0.4,72.8
520005,ABADIA DE GOIAS,2018-06,21.62,12.97,31.06,18.09,0.0,62.8
520005,ABADIA DE GOIAS,2018-07,22.11,11.89,33.18,21.29,0.0,50.0
520005,ABADIA DE GOIAS,2018-08,24.79,11.16,34.96,23.8,0.4,44.1
520005,ABADIA DE GOIAS,2018-09,26.75,12.87,38.33,25.46,1.1,42.6
520005,ABADIA DE GOIAS,2018-10,25.45,19.21,36.54,17.33,6.3,72.5
520005,ABADIA DE GOIAS,2018-11,23.67,18.23,31.33,13.1,7.9,81.9
520005,ABADIA DE GOIAS,2018-12,24.27,18.33,32.14,13.81,6.0,78.7
520005,ABADIA DE GOIAS,2018-13,23.58,6.2,38.33,32.13,3.8,69.2
520005,ABADIA DE GOIAS,2019-01,24.64,17.6,32.76,15.16,3.6,74.8
520005,ABADIA DE GOIAS,2019-02,24.43,18.51,33.98,15.47,7.0,81.2
520005,ABADIA DE GOIAS,2019-03,23.82,18.95,30.31,11.36,5.6,83.8
520005,ABADIA DE GOIAS,2019-04,23.77,17.35,29.66,12.31,4.8,81.2
520005,ABADIA DE GOIAS,2019-05,22.36,12.84,29.91,17.07,2.0,77.0
520005,ABADIA DE GOIAS,2019-06,20.95,11.99,30.73,18.74,0.0,64.8
520005,ABADIA DE GOIAS,2019-07,21.3,5.01,32.56,27.55,0.0,52.5
520005,ABADIA DE GOIAS,2019-08,25.21,13.71,36.5,22.79,0.0,41.4
520005,ABADIA DE GOIAS,2019-09,28.86,18.47,40.34,21.87,0.5,33.6
520005,ABADIA DE GOIAS,2019-10,27.71,19.3,39.77,20.47,2.6,53.8
520005,ABADIA DE GOIAS,2019-11,26.35,19.07,38.05,18.98,4.8,69.6
520005,ABADIA DE GOIAS,2019-12,25.0,19.48,32.82,13.34,6.7,77.8
520005,ABADIA DE GOIAS,2019-13,24.53,5.01,40.34,35.33,3.1,65.9
520005,ABADIA DE GOIAS,2020-01,24.89,19.17,33.25,14.08,8.4,80.8
520005,ABADIA DE GOIAS,2020-02,23.85,18.69,30.55,11.86,11.0,85.0
520005,ABADIA DE GOIAS,2020-03,23.79,17.21,30.5,13.29,4.5,82.3
