cod_mun;Município;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
520005;ABADIA DE GOIAS;8,02%;8,25%;8,44%;8,54%;8,66%;8,72%;8,80%;8,86%;8,98%;9,08%;9,20%;9,28%;9,33%;9,43%;9,63%;9,85%;9,88%
520010;ABADIANIA;10,17%;10,42%;10,78%;11,13%;11,54%;11,95%;12,40%;12,85%;13,39%;13,91%;14,45%;14,96%;15,45%;16,01%;16,66%;17,34%;18,10%
520013;ACREUNA;8,77%;9,08%;9,42%;9,77%;10,14%;10,52%;10,90%;11,35%;11,82%;12,33%;12,84%;13,35%;13,83%;14,38%;14,98%;15,67%;16,33%
520015;ADELANDIA;12,90%;13,35%;13,63%;14,22%;14,85%;15,57%;16,35%;17,17%;18,05%;19,08%;20,03%;21,38%;22,48%;23,45%;24,84%;25,69%;26,99%
520017;AGUA FRIA DE GOIAS;9,09%;9,37%;9,73%;10,17%;10,62%;10,97%;11,40%;11,87%;12,40%;12,94%;13,50%;14,08%;14,59%;15,21%;15,81%;16,47%;17,23%
520020;AGUA LIMPA;15,12%;15,73%;16,25%;16,79%;17,14%;17,84%;18,50%;19,24%;19,72%;20,59%;21,45%;22,14%;22,55%;23,47%;24,00%;24,68%;25,56%
520025;AGUAS LINDAS DE GOIAS;3,59%;3,74%;3,90%;4,05%;4,22%;4,39%;4,58%;4,79%;5,02%;5,28%;5,56%;5,84%;6,11%;6,42%;6,78%;7,17%;7,58%
520030;ALEXANIA;10,07%;10,31%;10,59%;10,86%;11,12%;11,39%;11,69%;12,01%;12,38%;12,76%;13,17%;13,56%;13,90%;14,31%;14,80%;15,29%;15,83%
520050;ALOANDIA;17,77%;18,15%;18,54%;18,96%;19,65%;20,12%;20,78%;21,52%;22,13%;22,95%;23,65%;24,23%;24,75%;25,38%;25,74%;26,36%;26,71%
520055;ALTO HORIZONTE;7,82%;7,92%;8,11%;8,25%;8,45%;8,66%;8,91%;9,15%;9,35%;9,55%;9,83%;10,15%;10,30%;10,53%;10,76%;11,12%;11,47%
520060;ALTO PARAISO DE GOIAS;7,56%;7,86%;8,09%;8,23%;8,41%;8,59%;8,80%;9,01%;9,22%;9,47%;9,72%;10,01%;10,17%;10,38%;10,65%;10,91%;11,15%
520080;ALVORADA DO NORTE;9,25%;9,46%;9,70%;9,90%;10,07%;10,27%;10,43%;10,65%;10,97%;11,35%;11,76%;12,17%;12,59%;12,92%;13,39%;13,80%;14,28%
520082;AMARALINA;10,13%;10,71%;11,25%;11,80%;12,36%;12,98%;13,72%;14,47%;15,11%;15,96%;16,59%;17,42%;18,16%;19,13%;20,31%;21,40%;22,80%
520085;AMERICANO DO BRASIL;11,72%;12,01%;12,54%;13,05%;13,68%;14,21%;14,85%;15,60%;16,21%;16,90%;17,52%;18,18%;18,77%;19,49%;20,39%;21,28%;22,34%
520090;AMORINOPOLIS;15,42%;16,05%;16,74%;17,44%;18,27%;19,04%;19,98%;20,94%;21,81%;22,94%;23,97%;24,92%;25,81%;26,89%;28,28%;29,30%;30,42%
520110;ANAPOLIS;9,47%;9,75%;10,04%;10,33%;10,62%;10,93%;11,25%;11,60%;11,98%;12,37%;12,76%;13,14%;13,47%;13,83%;14,26%;14,70%;15,15%
520120;ANHANGUERA;13,75%;13,95%;14,47%;15,06%;15,86%;16,62%;17,82%;18,59%;19,45%;19,86%;20,89%;21,51%;22,32%;23,21%;24,03%;24,76%;26,07%
520130;ANICUNS;10,77%;11,09%;11,51%;12,00%;12,56%;13,10%;13,71%;14,38%;15,08%;15,82%;16,58%;17,33%;18,04%;18,83%;19,76%;20,73%;21,73%
520140;APARECIDA DE GOIANIA;5,73%;5,96%;6,23%;6,50%;6,79%;7,10%;7,43%;7,78%;8,17%;8,58%;9,00%;9,42%;9,82%;10,25%;10,72%;11,20%;11,69%
520145;APARECIDA DO RIO DOCE;11,17%;11,47%;11,65%;11,67%;12,12%;12,48%;12,55%;12,93%;13,21%;13,62%;13,89%;14,26%;14,38%;14,74%;15,23%;15,87%;16,35%
520150;APORE;9,79%;10,02%;10,41%;10,56%;10,76%;11,06%;11,26%;11,57%;11,87%;12,09%;12,35%;12,69%;12,98%;13,31%;13,73%;14,15%;14,86%
520160;ARACU;14,88%;15,47%;15,92%;16,23%;16,72%;17,11%;17,52%;18,05%;18,46%;18,95%;19,44%;19,80%;20,09%;20,60%;21,41%;22,20%;23,13%
520170;ARAGARCAS;9,64%;10,00%;10,41%;10,83%;11,30%;11,75%;12,24%;12,77%;13,30%;13,83%;14,34%;14,85%;15,30%;15,82%;16,47%;17,15%;17,89%
520180;ARAGOIANIA;11,05%;11,35%;11,62%;11,83%;12,14%;12,40%;12,78%;13,12%;13,55%;14,00%;14,46%;14,93%;15,35%;15,78%;16,30%;16,72%;17,22%
