cod_mun;Município;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
520005;ABADIA DE GOIAS;21,00%;20,40%;20,02%;19,76%;19,76%;19,89%;20,13%;20,36%;20,49%;20,60%;20,64%;20,64%;20,66%;20,63%;20,59%;20,56%;20,64%
520010;ABADIANIA;19,41%;18,62%;17,91%;17,34%;16,93%;16,67%;16,50%;16,33%;16,23%;16,26%;16,40%;16,55%;16,64%;16,66%;16,45%;16,15%;15,73%
520013;ACREUNA;20,39%;19,84%;19,29%;18,71%;18,20%;17,79%;17,47%;17,14%;16,86%;16,65%;16,50%;16,37%;16,26%;16,11%;15,87%;15,54%;15,19%
520015;ADELANDIA;16,96%;16,57%;16,10%;15,54%;15,05%;14,60%;14,35%;14,01%;13,67%;13,58%;13,54%;13,33%;13,20%;12,89%;12,55%;12,15%;11,66%
520017;AGUA FRIA DE GOIAS;21,94%;21,36%;20,78%;20,20%;19,61%;19,18%;18,83%;18,46%;18,11%;17,83%;17,65%;17,38%;17,20%;16,94%;16,59%;16,27%;15,83%
520020;AGUA LIMPA;15,85%;15,14%;14,67%;14,27%;13,86%;13,63%;13,61%;13,55%;13,56%;13,49%;13,67%;14,01%;14,27%;14,15%;13,94%;13,69%;13,02%
520025;AGUAS LINDAS DE GOIAS;26,96%;25,97%;25,24%;24,66%;24,16%;23,73%;23,38%;23,01%;22,60%;22,19%;21,80%;21,37%;20,97%;20,63%;20,32%;20,06%;19,76%
520030;ALEXANIA;22,00%;21,34%;20,66%;20,03%;19,46%;19,02%;18,64%;18,29%;17,97%;17,76%;17,66%;17,57%;17,46%;17,34%;17,15%;16,86%;16,56%
520050;ALOANDIA;14,60%;13,90%;13,48%;13,04%;12,76%;12,59%;12,33%;12,08%;12,02%;12,19%;12,17%;12,34%;12,45%;12,56%;12,67%;12,35%;12,19%
520055;ALTO HORIZONTE;20,55%;20,20%;19,94%;19,74%;19,56%;19,39%;19,23%;19,11%;18,94%;18,85%;18,74%;18,58%;18,49%;18,29%;18,15%;18,02%;17,91%
520060;ALTO PARAISO DE GOIAS;23,47%;22,92%;22,44%;22,03%;21,72%;21,38%;21,15%;20,86%;20,56%;20,25%;19,93%;19,57%;19,31%;19,09%;19,01%;19,01%;18,99%
520080;ALVORADA DO NORTE;22,99%;22,45%;21,81%;21,19%;20,63%;20,13%;19,75%;19,41%;18,98%;18,65%;18,35%;18,09%;17,84%;17,54%;17,24%;16,91%;16,53%
520082;AMARALINA;19,72%;18,93%;18,08%;17,25%;16,62%;16,11%;15,69%;15,29%;14,91%;14,50%;14,29%;14,16%;13,92%;13,63%;13,11%;12,62%;12,00%
520085;AMERICANO DO BRASIL;18,21%;17,59%;16,95%;16,29%;15,67%;15,11%;14,67%;14,21%;13,79%;13,49%;13,22%;12,96%;12,82%;12,66%;12,39%;12,10%;11,75%
520090;AMORINOPOLIS;15,64%;15,01%;14,33%;13,52%;12,84%;12,38%;11,97%;11,64%;11,34%;11,26%;11,23%;11,17%;11,20%;11,16%;10,85%;10,54%;10,08%
520110;ANAPOLIS;19,03%;18,57%;18,15%;17,75%;17,41%;17,15%;16,96%;16,78%;16,60%;16,49%;16,43%;16,37%;16,31%;16,23%;16,08%;15,90%;15,68%
520120;ANHANGUERA;16,83%;16,62%;15,94%;15,55%;14,67%;14,41%;14,10%;13,74%;13,54%;13,48%;13,13%;12,91%;12,86%;12,62%;12,12%;11,51%;11,39%
520130;ANICUNS;17,13%;16,66%;16,22%;15,75%;15,32%;14,97%;14,70%;14,41%;14,16%;14,03%;13,96%;13,93%;13,89%;13,76%;13,54%;13,20%;12,89%
520140;APARECIDA DE GOIANIA;21,51%;20,95%;20,49%;20,07%;19,67%;19,34%;19,06%;18,77%;18,45%;18,13%;17,82%;17,49%;17,18%;16,88%;16,57%;16,28%;15,95%
520145;APARECIDA DO RIO DOCE;18,93%;18,48%;18,08%;17,57%;17,02%;16,61%;16,36%;16,08%;15,79%;15,59%;15,48%;15,37%;15,41%;15,38%;15,36%;15,21%;15,17%
520150;APORE;19,70%;19,59%;19,45%;19,36%;19,23%;19,06%;19,06%;19,05%;18,92%;18,81%;18,68%;18,45%;18,29%;18,08%;17,83%;17,57%;17,36%
520160;ARACU;16,03%;15,34%;14,69%;14,19%;13,74%;13,43%;13,12%;12,90%;12,71%;12,67%;12,69%;12,68%;12,77%;12,69%;12,45%;12,18%;11,88%
520170;ARAGARCAS;18,83%;18,30%;17,81%;17,37%;16,95%;16,64%;16,41%;16,17%;15,95%;15,77%;15,68%;15,61%;15,50%;15,33%;15,03%;14,67%;14,27%
520180;ARAGOIANIA;19,65%;19,21%;18,79%;18,37%;18,03%;17,71%;17,44%;17,21%;16,95%;16,69%;16,51%;16,30%;16,11%;15,95%;15,80%;15,66%;15,48%
520215;ARAGUAPAZ;19,23%;18,65%;18,13%;17,56%;17,00%;16,54%;16,14%;15,77%;15,42%;15,16%;14,98%;14,86%;14,65%;14,47%;14,18%;13,78%;13,39%
520235;ARENOPOLIS;16,26%;15,79%;15,24%;14,66%;14,25%;13,88%;13,64%;13,30%;13,20%;13,15%;13,22%;13,37%;13,42%;13,41%;13,14%;12,70%;12,33%
520250;ARUANA;22,96%;22,30%;21,71%;21,02%;20,44%;19,93%;19,54%;19,13%;18,74%;18,33%;17,95%;17,58%;17,19%;16,79%;16,32%;15,82%;15,24%
