cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520005;ABADIA DE GOIAS;111,76;105,88;139,22;193,48;84,62;94,07;75,97;79,87;62;81,63;62,24;48,1;52,76
520010;ABADIANIA;137,43;108,38;115,64;92,03;40,49;34,76;43,69;78,64;95,83;70,59;86,27;103,93;177,54
520013;ACREUNA;102,63;102,63;113,16;95,29;93,93;98,18;96,58;102,74;102,8;79,34;74,17;82,75;77,08
520015;ADELANDIA;92,59;103,7;122,22;122,22;121,43;76,92;152,38;104,76;152;104,55;100;29,17;176,47
520017;AGUA FRIA DE GOIAS;73,33;93,33;66,67;67,35;98,11;54,9;36,36;58,18;91,49;104,55;154,55;50;20
520020;AGUA LIMPA;130,77;184,62;115,38;90,91;100;152,94;78,26;104,35;73,68;100;18,18;127,27;181,82
520025;AGUAS LINDAS DE GOIAS;131,51;148,59;134,12;102;108,69;91,68;52,4;75,62;73,27;96,26;105,18;93,26;83,56
520030;ALEXANIA;100,31;77,57;70,4;72,44;70,67;77,11;86,22;94,49;95,57;80,55;41,42;42,6;84,47
520050;ALOANDIA;75;91,67;112,5;147,83;132;148;81,25;46,88;65,22;86,67;153,33;46,67;44,83
520055;ALTO HORIZONTE;101,54;110,77;113,85;80,77;96,67;146,67;108,42;122,11;96,88;108,94;78,05;83,78;84,43
520060;ALTO PARAISO DE GOIAS;100,98;57,84;70,59;66,29;49,49;39,6;85,56;91,11;69,7;82,07;97,24;46,9;70,5
520080;ALVORADA DO NORTE;103,33;94;108;183;63,95;87,8;82,84;91,04;91,34;81,62;99,26;64,43;53,52
520082;AMARALINA;60;85;120;120,69;50;61,9;109,09;113,64;76;92,31;61,54;40,74;135
520085;AMERICANO DO BRASIL;117,46;122,22;165,08;114,29;86,6;85,9;62,5;96,25;170,83;89,29;122,62;72,29;87,5
520090;AMORINOPOLIS;73,33;97,78;100;87,8;121,95;167,74;68,29;107,32;134,29;115,79;113,16;35,14;32,35
520110;ANAPOLIS;125,5;148,23;126,8;132,85;126,81;118,15;113,26;102,66;97,75;96,37;78,02;93,8;95,86
520120;ANHANGUERA;130;80;60;71,43;80;53,85;137,5;62,5;30,77;114,29;57,14;62,5;100
520130;ANICUNS;92,55;118,43;83,92;131,31;77,13;96,71;94,44;81,02;69,83;95,41;100;63,64;116,23
520140;APARECIDA DE GOIANIA;154,81;154,22;101,34;114,17;122,21;110,53;109,17;75,59;69,75;82,44;60,75;47,54;61,15
520145;APARECIDA DO RIO DOCE;75;85,71;75;35,71;118,52;165;120;92,5;102,78;116,67;150;55,56;103,23
520150;APORE;84,75;71,19;98,31;192,16;113,64;68,57;77,46;73,24;85,94;92,31;72,31;76,47;145,1
520160;ARACU;97,78;93,33;106,67;261,54;223,81;109,68;126,09;152,17;124,24;77,19;31,58;39,02;152
520170;ARAGARCAS;104,65;122,92;117,28;130,18;124,74;170,57;75,97;87,34;96,84;129,63;97,12;91,29;105,03
520180;ARAGOIANIA;89,47;113,16;95,61;163,64;82,05;95,28;86,73;108,85;93,94;94,49;96,06;96,24;69,57
520215;ARAGUAPAZ;88,54;93,75;72,92;131,4;127,03;136,67;253,19;174,47;103,41;65,22;32,61;24,07;60,78
520235;ARENOPOLIS;122,58;112,9;93,55;170,97;142,42;102,56;76,74;88,37;128,57;151,28;92,31;38,1;108,11
520250;ARUANA;93,42;122,37;135,53;133,33;147,01;100;50;69,01;115,84;62,5;99,17;37;68,04
520260;AURILANDIA;115,62;134,38;131,25;64,29;127,03;103,57;91,43;88,57;152;82,14;96,43;112;125,81
520280;AVELINOPOLIS;109,09;69,7;100;235;136;213,04;152,63;147,37;127,27;127,78;88,89;72;152,17
520310;BALIZA;52,94;70,59;61,76;70,73;80,65;102,63;52;80;116,67;83,87;77,42;54,84;75,76
520320;BARRO ALTO;84;100;104;104;120,83;160;119,01;112,4;95,24;109,22;108,51;79,88;75,31
520330;BELA VISTA DE GOIAS;89,18;92,13;114,75;127,46;97,72;108,22;59,45;84,93;95,29;77,22;32,97;27,84;41,77
520340;BOM JARDIM DE GOIAS;104,65;110,47;115,12;83,65;77,88;133,33;111,11;120,83;145;95,96;91,92;94,39;93,48
