cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520005;ABADIA DE GOIAS;109,8;127,45;98,04;222,83;85,31;116,3;94,16;105,19;74;52,55;63,27;55,27;73,23
520010;ABADIANIA;144,69;92,74;101,68;104,35;74,63;49,39;56,8;59,71;92,19;58,82;91,18;92,13;121,93
520013;ACREUNA;105,64;98,12;96,99;112,68;85,62;110,58;88,7;86,64;102,8;80,44;82,29;89,8;86,56
520015;ADELANDIA;103,7;48,15;174,07;129,63;110,71;96,15;166,67;147,62;92;104,55;118,18;29,17;135,29
520017;AGUA FRIA DE GOIAS;104,44;153,33;117,78;108,16;32,08;103,92;134,55;100;136,17;120,45;168,18;155,77;100
520020;AGUA LIMPA;176,92;84,62;100;127,27;85;123,53;82,61;121,74;126,32;113,64;77,27;136,36;172,73
520025;AGUAS LINDAS DE GOIAS;102,09;94,98;64,87;87,97;69,59;104,33;40,26;49,55;58,32;43,32;75,32;77,94;72,38
520030;ALEXANIA;103,43;124,61;102,18;106,53;115,54;84,47;94,74;101,25;77,34;54,23;70,94;58,54;84,71
520050;ALOANDIA;83,33;54,17;87,5;100;100;120;96,88;65,62;73,91;80;146,67;120;55,17
520055;ALTO HORIZONTE;100;126,15;163,08;102,56;104,44;138,67;111,58;127,37;111,46;82,11;104,07;93,69;74,59
520060;ALTO PARAISO DE GOIAS;119,61;123,53;97,06;112,36;87,88;95,05;145,56;123,33;77,27;60,69;88,28;89,38;87,77
520080;ALVORADA DO NORTE;90,67;88,67;92;168;69,39;117,89;95,52;87,31;92,91;69,85;85,29;90,6;77,46
520082;AMARALINA;110;160;180;82,76;70;90,48;122,73;95,45;84;96,15;107,69;55,56;145
520085;AMERICANO DO BRASIL;92,06;134,92;136,51;141,43;87,63;92,31;86,25;81,25;170,83;64,29;73,81;66,27;59,38
520090;AMORINOPOLIS;75,56;75,56;102,22;85,37;78,05;135,48;73,17;70,73;131,43;52,63;89,47;67,57;52,94
520110;ANAPOLIS;88,69;97,11;74,28;113,55;109,17;94,73;88,54;83,12;78,96;58,86;84,29;73,31;63,46
