Comp. CNES;Região;UF;Estado;Região de Saúde;cod_mun;População;Qt. capacidade da equipe;Cobertura APS
01/2021;CENTRO-OESTE;GO;GOIAS;ABADIA DE GOIÁS;520005;8958;17500;195,35%
01/2021;CENTRO-OESTE;GO;GOIAS;ABADIÂNIA;520010;20461;21000;102,63%
01/2021;CENTRO-OESTE;GO;GOIAS;ACREÚNA;520013;22546;28000;124,19%
01/2021;CENTRO-OESTE;GO;GOIAS;ADELÂNDIA;520015;2516;3500;139,10%
01/2021;CENTRO-OESTE;GO;GOIAS;ÁGUA FRIA DE GOIÁS;520017;5793;10500;181,25%
01/2021;CENTRO-OESTE;GO;GOIAS;ÁGUA LIMPA;520020;1830;3500;191,25%
01/2021;CENTRO-OESTE;GO;GOIAS;ÁGUAS LINDAS DE GOIÁS;520025;217698;63000;28,93%
01/2021;CENTRO-OESTE;GO;GOIAS;ALEXÂNIA;520030;28010;38500;137,45%
01/2021;CENTRO-OESTE;GO;GOIAS;ALOÂNDIA;520050;1986;3500;176,23%
01/2021;CENTRO-OESTE;GO;GOIAS;ALTO HORIZONTE;520055;6605;7000;105,98%
01/2021;CENTRO-OESTE;GO;GOIAS;ALTO PARAÍSO DE GOIÁS;520060;7688;17500;227,62%
01/2021;CENTRO-OESTE;GO;GOIAS;ALVORADA DO NORTE;520080;8705;14000;160,82%
01/2021;CENTRO-OESTE;GO;GOIAS;AMARALINA;520082;3845;7000;182,05%
01/2021;CENTRO-OESTE;GO;GOIAS;AMERICANO DO BRASIL;520085;6164;7000;113,56%
01/2021;CENTRO-OESTE;GO;GOIAS;AMORINÓPOLIS;520090;3069;3500;114,04%
01/2021;CENTRO-OESTE;GO;GOIAS;ANÁPOLIS;520110;391772;285250;72,81%
01/2021;CENTRO-OESTE;GO;GOIAS;ANHANGUERA;520120;1160;3500;301,72%
01/2021;CENTRO-OESTE;GO;GOIAS;ANICUNS;520130;21981;28000;127,38%
01/2021;CENTRO-OESTE;GO;GOIAS;APARECIDA DE GOIÂNIA;520140;590146;372750;63,16%
01/2021;CENTRO-OESTE;GO;GOIAS;APARECIDA DO RIO DOCE;520145;2474;3500;141,47%
01/2021;CENTRO-OESTE;GO;GOIAS;APORÉ;520150;4232;5250;124,05%
01/2021;CENTRO-OESTE;GO;GOIAS;ARAÇU;520160;3486;10500;301,20%
01/2021;CENTRO-OESTE;GO;GOIAS;ARAGARÇAS;520170;20273;28000;138,11%
01/2021;CENTRO-OESTE;GO;GOIAS;ARAGOIÂNIA;520180;10496;10500;100,03%
01/2021;CENTRO-OESTE;GO;GOIAS;ARAGUAPAZ;520215;7783;10500;134,90%
01/2021;CENTRO-OESTE;GO;GOIAS;ARENÓPOLIS;520235;2536;7000;276,02%
01/2021;CENTRO-OESTE;GO;GOIAS;ARUANÃ;520250;10110;10500;103,85%
01/2021;CENTRO-OESTE;GO;GOIAS;AURILÂNDIA;520260;3058;7000;228,90%
01/2021;CENTRO-OESTE;GO;GOIAS;AVELINÓPOLIS;520280;2409;3500;145,28%
01/2021;CENTRO-OESTE;GO;GOIAS;BALIZA;520310;5280;7000;132,57%
01/2021;CENTRO-OESTE;GO;GOIAS;BARRO ALTO;520320;11408;7000;61,36%
01/2021;CENTRO-OESTE;GO;GOIAS;BELA VISTA DE GOIÁS;520330;30492;38500;126,26%
01/2021;CENTRO-OESTE;GO;GOIAS;BOM JARDIM DE GOIÁS;520340;8869;10500;118,38%
01/2021;CENTRO-OESTE;GO;GOIAS;BOM JESUS DE GOIÁS;520350;25648;21000;81,87%
01/2021;CENTRO-OESTE;GO;GOIAS;BONFINÓPOLIS;520355;9919;14000;141,14%
01/2021;CENTRO-OESTE;GO;GOIAS;BONÓPOLIS;520357;4493;7000;155,79%
01/2021;CENTRO-OESTE;GO;GOIAS;BRAZABRANTES;520360;3746;7000;186,86%
01/2021;CENTRO-OESTE;GO;GOIAS;BRITÂNIA;520380;5797;7000;120,75%
01/2021;CENTRO-OESTE;GO;GOIAS;BURITI ALEGRE;520390;9484;10500;110,71%
01/2021;CENTRO-OESTE;GO;GOIAS;BURITI DE GOIÁS;520393;2476;3500;141,35%
01/2021;CENTRO-OESTE;GO;GOIAS;BURITINÓPOLIS;520396;3283;7000;213,21%
01/2021;CENTRO-OESTE;GO;GOIAS;CABECEIRAS;520400;8046;10500;130,49%
01/2021;CENTRO-OESTE;GO;GOIAS;CACHOEIRA ALTA;520410;12666;21000;165,79%
01/2021;CENTRO-OESTE;GO;GOIAS;CACHOEIRA DE GOIÁS;520420;1342;3500;260,80%
01/2021;CENTRO-OESTE;GO;GOIAS;CACHOEIRA DOURADA;520425;8031;10500;130,74%
01/2021;CENTRO-OESTE;GO;GOIAS;CAÇU;520430;16270;21000;129,07%
01/2021;CENTRO-OESTE;GO;GOIAS;CAIAPÔNIA;520440;19107;17500;91,58%
01/2021;CENTRO-OESTE;GO;GOIAS;CALDAS NOVAS;520450;93196;63000;67,59%
01/2021;CENTRO-OESTE;GO;GOIAS;CALDAZINHA;520455;3848;7000;181,91%
01/2021;CENTRO-OESTE;GO;GOIAS;CAMPESTRE DE GOIÁS;520460;3649;7000;191,83%
01/2021;CENTRO-OESTE;GO;GOIAS;CAMPINAÇU;520465;3632;7000;192,73%
01/2021;CENTRO-OESTE;GO;GOIAS;CAMPINORTE;520470;12764;17500;137,10%
01/2021;CENTRO-OESTE;GO;GOIAS;CAMPO ALEGRE DE GOIÁS;520480;7738;10500;135,69%
01/2021;CENTRO-OESTE;GO;GOIAS;CAMPO LIMPO DE GOIÁS;520485;7940;10500;132,24%
01/2021;CENTRO-OESTE;GO;GOIAS;CAMPOS BELOS;520490;20007;21000;104,96%
01/2021;CENTRO-OESTE;GO;GOIAS;CAMPOS VERDES;520495;1830;10500;573,77%
01/2021;CENTRO-OESTE;GO;GOIAS;CARMO DO RIO VERDE;520500;10186;10500;103,08%
01/2021;CENTRO-OESTE;GO;GOIAS;CASTELÂNDIA;520505;3407;3500;102,72%
01/2021;CENTRO-OESTE;GO;GOIAS;CATALÃO;520510;110983;42875;38,63%
01/2021;CENTRO-OESTE;GO;GOIAS;CATURAÍ;520520;5101;7000;137,22%
01/2021;CENTRO-OESTE;GO;GOIAS;CAVALCANTE;520530;9725;10500;107,96%
01/2021;CENTRO-OESTE;GO;GOIAS;CERES;520540;22306;28000;125,52%
01/2021;CENTRO-OESTE;GO;GOIAS;CEZARINA;520545;8703;14000;160,86%
01/2021;CENTRO-OESTE;GO;GOIAS;CHAPADÃO DO CÉU;520547;10486;10500;100,13%
01/2021;CENTRO-OESTE;GO;GOIAS;CIDADE OCIDENTAL;520549;72890;94500;129,64%
01/2021;CENTRO-OESTE;GO;GOIAS;COCALZINHO DE GOIÁS;520551;20504;24500;119,48%
01/2021;CENTRO-OESTE;GO;GOIAS;COLINAS DO SUL;520552;3360;7000;208,33%
01/2021;CENTRO-OESTE;GO;GOIAS;CÓRREGO DO OURO;520570;2290;3500;152,83%
01/2021;CENTRO-OESTE;GO;GOIAS;CORUMBÁ DE GOIÁS;520580;11169;14000;125,34%
01/2021;CENTRO-OESTE;GO;GOIAS;CORUMBAÍBA;520590;9869;10500;106,39%
01/2021;CENTRO-OESTE;GO;GOIAS;CRISTALINA;520620;60210;59500;98,82%
01/2021;CENTRO-OESTE;GO;GOIAS;CRISTIANÓPOLIS;520630;2964;3500;118,08%
01/2021;CENTRO-OESTE;GO;GOIAS;CRIXÁS;520640;17044;28000;164,28%
01/2021;CENTRO-OESTE;GO;GOIAS;CROMÍNIA;520650;3472;7000;201,61%
01/2021;CENTRO-OESTE;GO;GOIAS;CUMARI;520660;2837;3500;123,36%
01/2021;CENTRO-OESTE;GO;GOIAS;DAMIANÓPOLIS;520670;3306;7000;211,73%
01/2021;CENTRO-OESTE;GO;GOIAS;DAMOLÂNDIA;520680;2953;3500;118,52%
01/2021;CENTRO-OESTE;GO;GOIAS;DAVINÓPOLIS;520690;2094;3500;167,14%
