cod_mun;Município;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520005;ABADIA DE GOIAS;54,9;222,83;85,31;116,3;94,16;87,01;72,5;57,14;65,82;56,54;73,23
520010;ABADIANIA;37,43;104,35;74,15;49,39;56,8;58,25;83,85;59,8;91,67;94,38;121,93
520013;ACREUNA;42,11;110,87;85,62;110,58;88,7;86,99;102,8;71,96;82,29;92,16;86,56
520015;ADELANDIA;96,3;129,63;110,71;96,15;166,67;123,81;92;122,73;122,73;29,17;135,29
520017;AGUA FRIA DE GOIAS;73,33;108,16;32,08;103,92;134,55;109,09;148,94;127,27;168,18;157,69;100
520020;AGUA LIMPA;15,38;127,27;85;123,53;82,61;108,7;121,05;131,82;63,64;136,36;172,73
520025;AGUAS LINDAS DE GOIAS;33,28;85,86;69,59;93,62;40,26;53,39;64,72;52,94;78,86;77,69;72,38
520030;ALEXANIA;45,17;106,25;115,54;84,47;94,74;96,49;76,85;51,95;74,6;60,14;84,71
520050;ALOANDIA;50;100;100;120;96,88;62,5;60,87;60;153,33;120;55,17
520055;ALTO HORIZONTE;60;102,56;104,44;138,67;111,58;131,58;112,5;79,67;104,07;94,59;74,59
520060;ALTO PARAISO DE GOIAS;26,47;112,36;87,88;95,05;145,56;130;74,24;51,03;88,28;90,27;87,77
520080;ALVORADA DO NORTE;15,33;168;69,39;117,89;95,52;82,84;90,55;69,85;86,76;90,6;77,46
520082;AMARALINA;45;82,76;70;90,48;122,73;95,45;88;80,77;100;59,26;145
520085;AMERICANO DO BRASIL;79,37;141,43;87,63;92,31;86,25;75;160,42;61,9;71,43;68,67;59,38
520090;AMORINOPOLIS;55,56;85,37;78,05;135,48;73,17;73,17;131,43;60,53;92,11;67,57;52,94
520110;ANAPOLIS;40,62;108,61;105;93,66;88,47;83,53;78,88;57,97;81,41;71,25;63,43
520120;ANHANGUERA;0;114,29;140;30,77;200;112,5;61,54;42,86;171,43;62,5;112,5
520130;ANICUNS;18,82;134,11;51,12;48,83;50,93;56,94;61,98;81,12;109,18;64,11;104,19
520140;APARECIDA DE GOIANIA;47,78;105,72;99,37;120,32;100,13;64,82;74,82;69,61;69,46;36,74;79,62
520145;APARECIDA DO RIO DOCE;53,57;135,71;133,33;250;132,5;100;105,56;145,83;166,67;100;129,03
520150;APORE;54,24;143,14;121,21;88,57;74,65;69,01;65,62;76,92;66,15;63,24;123,53
520160;ARACU;46,67;219,23;164,29;103,23;82,61;91,3;109,09;47,37;59,65;51,22;104
520170;ARAGARCAS;19,6;74,56;81,53;91,13;69,81;53,9;76,28;84,36;68,72;73,03;105,03
520180;ARAGOIANIA;48,25;168,18;78,63;58,27;94,69;117,7;86,36;68,5;83,46;83,46;86,96
520215;ARAGUAPAZ;37,5;120,93;89,19;138,33;206,38;170,21;88,64;61,96;47,83;96,3;94,12
520235;ARENOPOLIS;35,48;129,03;124,24;107,69;62,79;79,07;105,71;115,38;89,74;42,86;97,3
520250;ARUANA;48,68;198,67;102,56;88,12;45,77;48,59;97,03;52,5;45,83;56;89,69
520260;AURILANDIA;65,62;76,19;67,57;132,14;85,71;97,14;104;71,43;82,14;120;109,68
520280;AVELINOPOLIS;33,33;225;112;213,04;173,68;194,74;113,64;155,56;138,89;76;147,83
520310;BALIZA;47,06;53,66;64,52;57,89;44;48;75;64,52;70,97;58,06;139,39
520320;BARRO ALTO;38;151,2;96,67;121,05;109,09;115,7;68,71;44,68;55,32;72,56;68,52
520330;BELA VISTA DE GOIAS;32,46;127,11;103,7;94,79;67,95;90,68;80,1;50,54;37,09;29,12;48,73
520340;BOM JARDIM DE GOIAS;52,33;112,5;61,06;124,24;133,33;75;127,5;74,75;101,01;77,57;91,3
520350;BOM JESUS DE GOIAS;42,77;134,09;130,67;100,71;94,64;109,82;90,67;85,55;92,35;79,89;95,27
520355;BONFINOPOLIS;49,5;85,71;123,28;88,07;91,15;81,42;112,3;91,15;103,54;90,43;91,82
520357;BONOPOLIS;0;147,37;84,44;87,18;128,21;82,05;137,84;69,44;191,67;42;115
520360;BRAZABRANTES;60,87;117,14;80,49;150;115,56;124,44;92;72;58;130,3;100
520380;BRITANIA;49,32;121,13;110,26;122,97;89,55;111,94;87,06;50,57;52,87;98,73;91,36
520390;BURITI ALEGRE;38,6;115,31;93,64;93,94;53,27;128,97;115,7;59,59;107,53;101,55;100,82
520393;BURITI DE GOIAS;27,59;128;115,38;148,28;77,14;85,71;116,13;93,94;87,88;121,74;100
520396;BURITINOPOLIS;26;132,26;114,71;86,11;140,74;140,74;148,39;87,5;122,5;85,71;104,44
520400;CABECEIRAS;64,21;136,19;106,09;103,39;77,31;79,83;82,69;89;97;81,74;86
520410;CACHOEIRA ALTA;32,65;131,31;135,48;125,21;111,36;112,12;91,11;102,26;100,75;72,19;70,13
520420;CACHOEIRA DE GOIAS;46,15;142,86;107,14;65,22;146,15;115,38;64,71;100;160;114,29;75
520425;CACHOEIRA DOURADA;39,29;274,36;67,54;105,61;73,91;55,07;73,33;77,89;104,21;94,25;85,87
520430;CACU;21,29;140,8;129,41;100,62;108,28;96,45;89,71;82,25;84,02;74,25;82,61
520440;CAIAPONIA;9,23;152,07;107,81;97,31;85,48;102,15;115,59;97,65;76,53;81,35;94,25
520450;CALDAS NOVAS;38,39;97,51;84,41;81,9;86,65;72,99;85,28;68,04;77,53;73,04;73,17
520455;CALDAZINHA;55,56;111,11;42,5;211,63;67,35;93,88;100;62,5;95,83;100;93,33
520460;CAMPESTRE DE GOIAS;60,71;215,15;185,71;108,93;106;108;110,64;188,24;205,88;123,81;104,44
520465;CAMPINACU;5,71;100;18,6;73,81;62,79;65,12;87,5;97,37;89,47;136;85
520470;CAMPINORTE;36,09;122,22;93,71;102,53;103,09;100;104,14;86,49;96,62;104,73;107,63
520480;CAMPO ALEGRE DE GOIAS;45,28;98,63;96,3;82,19;96,77;108,06;83,58;76,06;126,76;75,86;91,89
520485;CAMPO LIMPO DE GOIAS;50;187,23;84,91;140,7;35,14;75,68;114,91;54,17;79,86;121,15;81,82
520490;CAMPOS BELOS;28,03;99,42;100,61;85,04;91,25;88,05;93,97;53,17;75,23;80,71;86,69
520495;CAMPOS VERDES;29,21;163,89;150;120,41;112,96;75,93;164,29;58,33;101,67;97,96;101,89
520500;CARMO DO RIO VERDE;27,08;165,85;105,49;93,39;81,68;90,08;72,8;86,67;70;60,75;79,59
520505;CASTELANDIA;50,94;75,93;102,56;146,88;175;164,29;109,38;102,94;144,12;92,5;102,86
520510;CATALAO;39,7;90,87;87,09;78,05;87,4;82,21;78,81;68,29;82,49;78,21;74,04
520520;CATURAI;42,86;204,26;126,42;150;139,62;118,87;147,37;101,64;119,67;128,57;72,41
520530;CAVALCANTE;32,14;116,55;83,33;105,13;118,7;129,27;90;75;99,29;118,25;93,01
520540;CERES;39,65;102,64;91,39;94,31;92,09;86,69;94,08;78,98;61,36;61,3;82,26
520545;CEZARINA;52,94;98,28;85,38;77,34;79,84;64,52;77,5;75,7;104,67;59,13;79,79
520547;CHAPADAO DO CEU;78,3;215,25;103,61;119,64;105,99;108,98;93,58;59,16;72,25;86,72;77,54
520549;CIDADE OCIDENTAL;51,48;109,13;113,11;122,55;85,8;97,72;106,18;67,49;69,67;85,82;82,46
520551;COCALZINHO DE GOIAS;69,06;151,49;124,63;148,58;149,12;117,98;111,3;84,11;157,01;123,92;102,34
520552;COLINAS DO SUL;37,21;142,5;119,51;134,78;150;152,63;120;73,47;61,22;103,23;155,56
520570;CORREGO DO OURO;16,67;100;87,5;100;114,71;82,35;110,71;77,5;57,5;80;84
520580;CORUMBA DE GOIAS;38,89;128,42;100;89,19;101,92;101,92;125;65;121;100;103,06
520590;CORUMBAIBA;53,75;94,39;76,15;101,04;103,92;96,08;97,92;76,53;96,94;121,95;108,42
520620;CRISTALINA;35,41;121,66;106,55;103,5;105,67;98,58;103,56;96,92;105,83;94,14;85
520630;CRISTIANOPOLIS;30,56;122,58;146,43;90,62;84,21;97,37;148;47,22;122,22;100;89,74
520640;CRIXAS;49,78;106,05;96,88;99,49;88,8;84,65;91,79;61,32;46,09;83,88;81,65
520650;CROMINIA;7,69;261,76;204,35;45;113,89;83,33;115,15;106,45;132,26;152,17;83,33
520660;CUMARI;31,25;129,17;100;57,69;67,57;94,59;109,52;83,87;93,55;80,56;108,33
520670;DAMIANOPOLIS;42,22;158,06;121,43;106,25;69,23;76,92;113,04;78,26;134,78;101,67;103,64
520680;DAMOLANDIA;0;70,27;82,76;117,24;184;132;65,71;83,87;138,71;86,11;96,67
520690;DAVINOPOLIS;30,77;125;64,71;125;190,91;254,55;106,25;81,25;81,25;100;150
520710;DIORAMA;23,53;165;138,89;161,11;55,17;68,97;118,75;100;195,24;122,73;67,86
520725;DOVERLANDIA;11,86;97,06;109,21;132,79;106,19;59,79;92,78;95,45;100;112,5;133,82
520735;EDEALINA;65,22;132,61;90,2;80,85;54,05;159,46;80;66,67;109,8;121,43;94,44
520740;EDEIA;35,88;133,55;63,51;104,86;70,97;111,29;77,1;49,66;53,69;78,36;86,23
520750;ESTRELA DO NORTE;31,25;150;125;100;93,33;175,56;126,32;65,45;60;86,21;125
520753;FAINA;29,31;146,67;180,43;103,28;108,2;68,85;73,77;36,71;70,89;89,29;64,06
520760;FAZENDA NOVA;44,83;102,04;81,82;89,09;100;85,71;79,59;100;125;78,43;59,32
520780;FIRMINOPOLIS;35,23;76,11;127,66;116,48;118,28;94,62;117,02;68,69;97,98;144,74;111,34
520790;FLORES DE GOIAS;52,08;158,76;79,57;92,92;118,48;111,96;117,33;73,91;79,13;90,29;99,01
520800;FORMOSA;46,88;98,75;100,64;102,07;87,67;87,73;84,81;58,45;59,11;69,29;54,89
520810;FORMOSO;29,17;109,62;59,65;46,77;94,64;98,21;65,38;70,69;101,72;73,24;70,15
520815;GAMELEIRA DE GOIAS;23,53;164;110,34;119,35;82,86;82,86;117,65;42,86;107,14;131,43;67,39
520830;DIVINOPOLIS DE GOIAS;0;80,88;63,27;129,03;86,36;86,36;70,73;98,44;109,38;96,72;117,54
520840;GOIANAPOLIS;48,46;141,01;106,25;110,12;105,85;111,7;93,43;71,5;106,28;112,57;97,87
520850;GOIANDIRA;52,63;165;52,11;94,23;168,42;152,63;87,27;95,35;106,98;196,3;105,71
520860;GOIANESIA;42,11;98,78;87,72;97,53;102,14;98,5;82;68,76;73,86;59,84;78,8
520870;GOIANIA;44,65;94,54;87,76;83,46;77,53;72,8;81,08;56,08;74,86;72,64;61,59
520880;GOIANIRA;54,71;124,15;117,04;120,22;99,33;99,33;92,22;72,53;70,55;86,6;98,16
520890;GOIAS;16;98,96;73,26;58,36;29,17;60,58;73,5;71,07;74,29;54,22;74,77
520910;GOIATUBA;43,79;100,95;81,26;90,5;87,56;94,84;91,99;68,45;70,3;70,55;82,03
