cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520005;ABADIA DE GOIAS;5,88;50,98;107,84;173,91;90,21;82,96;90,26;100,65;90,5;92,86;71,43;59,49;81,89
520010;ABADIANIA;48,04;89,39;65,36;88,41;58,05;47,56;61,17;69,42;94,79;73,53;81,86;119,1;132,62
520013;ACREUNA;13,91;115,04;104,51;102,17;84,66;110,22;102,74;101,37;106,4;95,2;81,18;96,47;94,47
520015;ADELANDIA;22,22;85,19;185,19;137,04;110,71;111,54;180,95;123,81;120;140,91;113,64;12,5;188,24
520017;AGUA FRIA DE GOIAS;0;40;168,89;124,49;35,85;101,96;105,45;121,82;136,17;165,91;195,45;157,69;90,77
520020;AGUA LIMPA;0;30,77;53,85;81,82;80;129,41;117,39;104,35;115,79;136,36;95,45;172,73;154,55
520025;AGUAS LINDAS DE GOIAS;24,08;73,43;86,17;78,94;68,13;43,33;47,77;67,95;81,13;92,95;106,15;86,56;90,09
520030;ALEXANIA;19;125,55;103,12;101,42;111,73;75,79;103,76;99;85,96;89,24;62,93;60,82;91,26
520050;ALOANDIA;8,33;66,67;100;113,04;84;124;65,62;59,38;65,22;60;200;93,33;62,07
520055;ALTO HORIZONTE;12,31;141,54;138,46;102,56;105,56;128;100;137,89;108,33;96,75;88,62;90,09;83,61
520060;ALTO PARAISO DE GOIAS;19,61;120,59;93,14;121,35;85,86;86,14;150;153,33;88,64;73,79;95,17;103,54;102,16
520080;ALVORADA DO NORTE;18,67;94;91,33;173;71,43;123,58;92,54;89,55;92,13;96,32;103,68;82,55;73,94
520082;AMARALINA;45;190;195;103,45;65;85,71;159,09;118,18;88;88,46;100;77,78;115
520085;AMERICANO DO BRASIL;15,87;150,79;130,16;137,14;78,35;88,46;96,25;77,5;172,92;80,95;103,57;68,67;73,96
520090;AMORINOPOLIS;8,89;68,89;91,11;90,24;75,61;129,03;85,37;87,8;111,43;113,16;100;70,27;64,71
520110;ANAPOLIS;7,93;91,31;89,07;97,29;97,21;82,68;98,84;90,45;88,51;83,36;82,91;80,04;71,35
520120;ANHANGUERA;10;30;80;157,14;140;30,77;212,5;112,5;61,54;42,86;171,43;75;125
520130;ANICUNS;11,76;76,47;53,33;133,18;39,91;32,39;69,91;84,72;66,12;97,96;99,49;65,55;119,37
520140;APARECIDA DE GOIANIA;19,06;120,55;94,86;95,89;92,02;112,9;100,48;72,23;78,16;91,1;73,45;39,97;87,02
520145;APARECIDA DO RIO DOCE;35,71;135,71;167,86;153,57;133,33;270;142,5;112,5;88,89;183,33;166,67;127,78;138,71
520150;APORE;30,51;91,53;84,75;154,9;116,67;90;90,14;66,2;73,44;86,15;55,38;73,53;115,69
520160;ARACU;40;100;111,11;215,38;159,52;106,45;119,57;115,22;145,45;70,18;54,39;75,61;148
520170;ARAGARCAS;4,32;43,52;72,09;69,82;71,78;95,74;74,68;70,78;84,98;104,94;88,89;80,91;116,08
520180;ARAGOIANIA;3,51;107,02;118,42;187,27;76,92;51,97;95,58;144,25;100;101,57;127,56;94,74;95,65
520215;ARAGUAPAZ;1,04;121,88;84,38;122,09;70,27;131,67;221,28;180,85;106,82;81,52;48,91;94,44;92,16
520235;ARENOPOLIS;61,29;138,71;116,13;125,81;127,27;110,26;86,05;88,37;108,57;156,41;87,18;42,86;97,3
520250;ARUANA;0;115,79;111,84;214,67;106,84;86,14;55,63;59,86;110,89;67,5;96,67;63;100
520260;AURILANDIA;6,25;140,62;143,75;78,57;64,86;128,57;97,14;100;136;100;82,14;116;129,03
520280;AVELINOPOLIS;15,15;103,03;90,91;235;108;208,7;194,74;168,42;113,64;150;166,67;80;173,91
520310;BALIZA;0;55,88;85,29;65,85;67,74;57,89;76;48;79,17;100;80,65;61,29;96,97
520320;BARRO ALTO;30;130;95;140,8;85;110,53;107,44;119,83;101,36;95,74;96,45;64,63;74,69
520330;BELA VISTA DE GOIAS;12,13;78,03;88,52;126,76;106,55;93,97;71,78;95,34;99,21;78,74;48,37;31,69;50
520340;BOM JARDIM DE GOIAS;34,88;88,37;111,63;116,35;54,87;121,21;126,39;98,61;130;105,05;87,88;88,79;96,74
520350;BOM JESUS DE GOIAS;18,87;110,38;112,89;132,58;130,67;95,76;104,17;103,87;102,04;98,02;96,88;82,88;100,32
520355;BONFINOPOLIS;12,87;87,13;99,01;86,73;121,55;79,82;115,93;103,54;132,79;132,74;107,08;92,17;114,55
520357;BONOPOLIS;2,27;115,91;125;142,11;64,44;87,18;133,33;107,69;118,92;102,78;180,56;56;107,5
520360;BRAZABRANTES;17,39;121,74;160,87;137,14;78,05;142,5;128,89;117,78;98;80;76;157,58;89,58
520380;BRITANIA;15,07;146,58;91,78;125,35;120,51;127,03;108,96;153,73;92,94;117,24;88,51;107,59;95,06
520390;BURITI ALEGRE;17,54;131,58;85,96;110,2;100;88,89;54,21;140,19;108,26;95,89;100;97,67;112,3
520393;BURITI DE GOIAS;13,79;106,9;110,34;108;115,38;148,28;94,29;91,43;129,03;100;72,73;130,43;113,79
520396;BURITINOPOLIS;28;88;88;138,71;117,65;91,67;140,74;144,44;135,48;135;112,5;91,84;88,89
520400;CABECEIRAS;15,79;140;122,11;142,86;100,87;108,47;84,03;90,76;100;114;116;88,7;104
520410;CACHOEIRA ALTA;31,63;125,51;122,45;139,39;133,33;123,53;108,33;104,55;97,04;109,77;126,32;77,48;77,92
520420;CACHOEIRA DE GOIAS;0;146,15;100;157,14;107,14;65,22;153,85;100;76,47;70;150;142,86;115
520425;CACHOEIRA DOURADA;19,64;90,18;85,71;294,87;71,05;97,2;64,49;65,22;89,52;89,47;110,53;82,76;83,7
520430;CACU;18,06;98,06;87,1;139,2;127,73;94,44;108,28;103,55;87,43;98,22;81,66;79,64;77,64
520440;CAIAPONIA;23,08;90,26;79,49;134,32;100;98,39;90,86;108,06;117,74;94,84;84,51;80,83;98,85
520450;CALDAS NOVAS;19,87;106,53;103,07;97,15;90,35;79,93;99,31;90,79;102,41;95,1;94,25;80,13;91,68
520455;CALDAZINHA;22,22;170,37;133,33;113,89;55;179,07;63,27;110,2;105,13;93,75;100;84,44;86,67
520460;CAMPESTRE DE GOIAS;14,29;146,43;153,57;178,79;189,29;94,64;132;104;117,02;185,29;194,12;114,29;137,78
520465;CAMPINACU;45,71;177,14;120;84,09;23,26;61,9;79,07;62,79;105;84,21;147,37;144;100
520470;CAMPINORTE;15,04;131,58;129,32;100,62;90,57;105,06;110,49;94,44;115,98;97,3;118,24;114,86;127,48
520480;CAMPO ALEGRE DE GOIAS;24,53;133,96;116,98;73,97;122,22;82,19;132,26;119,35;89,55;91,55;140,85;86,21;109,46
520485;CAMPO LIMPO DE GOIAS;50;153,95;126,32;195,74;91,51;124,42;46,85;90,99;108,77;89,58;84,72;145,19;86,36
520490;CAMPOS BELOS;18,79;110,12;98,27;108,16;105,21;85,56;92,13;95,92;87,23;82,78;75,23;81,9;91,73
520495;CAMPOS VERDES;2,25;69,66;73,03;119,44;135,71;124,49;105,56;109,26;164,29;68,33;121,67;91,84;103,77
520500;CARMO DO RIO VERDE;51,04;105,21;108,33;168,29;109,89;98,35;101,53;90,08;85,6;95,83;58,33;68,22;86,73
520505;CASTELANDIA;3,77;101,89;100;74,07;100;150;192,86;150;150;97,06;147,06;97,5;100
520510;CATALAO;15,46;100,78;91,61;94,69;94,19;78,95;91,49;87,27;81,54;88,84;84,65;81,59;78,42
520520;CATURAI;48,21;137,5;107,14;202,13;132,08;142,86;149,06;135,85;138,6;103,28;121,31;100;89,66
520530;CAVALCANTE;11,31;106,55;79,76;105,76;88,89;106,41;123,58;134,96;106,43;87,86;126,43;114,29;96,5
520540;CERES;12,78;111,01;98,68;102,64;92,62;92,68;100,36;93,53;98,61;94,92;68,14;78,95;77,42
520545;CEZARINA;35,29;125,49;118,63;106,9;80,77;68,75;104,84;78,23;93,33;118,69;113,08;73,91;113,83
520547;CHAPADAO DO CEU;5,66;135,85;133,02;188,98;98,19;121,43;125,15;104,79;96,79;117,8;87,96;82,03;94,07
520549;CIDADE OCIDENTAL;13,74;118,49;123,88;105,14;102,82;110,22;89,77;99,75;107,9;96,17;91,62;99,81;102,88
520551;COCALZINHO DE GOIAS;44,75;159,12;168,51;142,57;116,26;141,51;153,51;120,18;114,35;129,44;138,32;128,63;101,95
520552;COLINAS DO SUL;32,56;200;132,56;147,5;126,83;123,91;147,37;150;172,5;97,96;63,27;103,23;141,67
520570;CORREGO DO OURO;0;150;104,17;104;87,5;82,61;120,59;88,24;114,29;90;55;88,57;60
520580;CORUMBA DE GOIAS;31,48;93,52;82,41;93,68;86,27;92,79;102,88;116,35;125;95;90;101,04;115,31
520590;CORUMBAIBA;18,75;140;126,25;102,8;77,98;104,17;116,67;100,98;111,46;94,9;91,84;131,71;121,05
520620;CRISTALINA;21,3;103,46;102,07;122,11;104,77;100,5;108,62;107,79;106,67;113,64;116,72;94,04;94,69
520630;CRISTIANOPOLIS;55,56;86,11;122,22;106,45;57,14;87,5;84,21;136,84;140;83,33;141,67;83,87;71,79
520640;CRIXAS;11,11;95,56;100;106,98;88,39;86,15;88,8;97,93;101,45;90,12;57,61;81,82;87,16
520650;CROMINIA;25,64;120,51;97,44;238,24;200;46,67;111,11;83,33;115,15;119,35;154,84;186,96;80,95
520660;CUMARI;18,75;109,38;103,12;150;103,12;57,69;72,97;70,27;147,62;106,45;96,77;94,44;87,5
520670;DAMIANOPOLIS;64,44;131,11;104,44;154,84;126,19;102,08;71,15;75;115,22;106,52;128,26;103,33;103,64
520680;DAMOLANDIA;18,75;81,25;100;83,78;86,21;117,24;192;124;74,29;109,68;164,52;75;113,33
520690;DAVINOPOLIS;46,15;153,85;200;125;70,59;112,5;181,82;172,73;93,75;106,25;87,5;118,75;164,29
520710;DIORAMA;23,53;88,24;52,94;175;138,89;155,56;58,62;65,52;125;100;123,81;100;53,57
520725;DOVERLANDIA;16,1;105,93;71,19;126,47;109,21;131,15;100;73,2;86,6;107,58;110,61;106,25;157,35
520735;EDEALINA;30,43;204,35;243,48;126,09;66,67;76,6;59,46;181,08;94;98,04;96,08;121,43;138,89
520740;EDEIA;19,08;114,5;116,79;116,45;69,59;100,69;116,13;139,52;100,76;67,79;56,38;82,46;93,41
520750;ESTRELA DO NORTE;65,62;125;153,12;153,12;127,08;91,11;120;200;128,95;67,27;70,91;75,86;153,12
520753;FAINA;12,07;87,93;84,48;142,22;182,61;106,56;118,03;60,66;80,33;84,81;83,54;91,07;70,31
520760;FAZENDA NOVA;8,62;101,72;79,31;104,08;81,82;81,82;102,04;83,67;100;104,17;120,83;96,08;76,27
520780;FIRMINOPOLIS;14,77;120,45;98,86;87,61;119,15;105,49;112,9;93,55;110,64;104,04;113,13;130,26;111,34
520790;FLORES DE GOIAS;17,71;142,71;133,33;206,19;45,16;82,3;120,65;138,04;118,67;82,61;89,57;101,94;109,9
520800;FORMOSA;22,89;89,35;94,06;96,94;96,57;103,81;93,47;97,75;91,87;79,83;62;72,81;62,07
520810;FORMOSO;33,33;95,83;95,83;103,85;49,12;29,03;112,5;114,29;78,85;94,83;105,17;64,79;53,73
520815;GAMELEIRA DE GOIAS;38,24;111,76;82,35;136;110,34;93,55;100;114,29;105,88;61,9;80,95;120;43,48
520830;DIVINOPOLIS DE GOIAS;19,44;200;194,44;105,88;66,33;129,03;89,77;80,68;81,71;96,88;115,62;85,25;121,05
520840;GOIANAPOLIS;25,38;165,38;134,62;119,42;83,75;89,88;105,85;132,16;97,98;89,86;101,45;105,14;99,47
520850;GOIANDIRA;36,84;144,74;144,74;167,5;57,75;88,46;150;155,26;90,91;100;83,72;185,19;134,29
520860;GOIANESIA;6,38;116,13;94,18;99,89;84,02;95,95;105,66;102,46;94,94;104,89;92,35;62,03;85
520870;GOIANIA;27,01;93,31;91,34;95,35;96,23;91,53;84,82;78,76;88,2;70,47;78,92;79,93;70,73
520880;GOIANIRA;15,4;140,23;130,57;112,57;120,27;114,68;112,1;125,4;113,27;112,53;120,88;95,08;104,71
