cod_mun;Município;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
520005;ABADIA DE GOIAS;6792;7030;7368;7853;8526;9362;10310;11341;12433;13606;14862;16218;17582;18874;20034;21165;22052;22939
520010;ABADIANIA;15700;15999;16171;16302;16409;16537;16664;16781;16910;17033;17186;17325;17440;17512;17574;17638;17738;17838
520013;ACREUNA;20608;20722;20829;20937;21082;21207;21339;21454;21546;21640;21741;21839;21889;21918;21947;21995;22079;22163
520015;ADELANDIA;2535;2516;2510;2496;2485;2466;2453;2441;2421;2401;2386;2371;2349;2328;2287;2297;2282;2267
520017;AGUA FRIA DE GOIAS;5150;5177;5192;5203;5197;5188;5184;5172;5152;5133;5105;5092;5057;5023;4990;4991;4979;4967
520020;AGUA LIMPA;2063;2047;2031;2025;2013;1996;1984;1970;1947;1928;1916;1906;1885;1866;1829;1856;1843;1830
520025;AGUAS LINDAS DE GOIAS;158653;163859;168983;174436;180025;185786;191713;197529;203108;208445;213823;219218;224436;229573;234962;240613;245352;250091
520030;ALEXANIA;24040;24310;24583;24868;25172;25477;25782;26080;26354;26621;26906;27190;27423;27618;27819;28009;28244;28479
520050;ALOANDIA;2082;2072;2077;2078;2076;2058;2060;2045;2038;2026;2013;2010;1992;1990;1958;1984;1977;1970
520055;ALTO HORIZONTE;4360;4545;4688;4812;4934;5070;5217;5354;5486;5622;5759;5903;6030;6146;6248;6375;6487;6599
520060;ALTO PARAISO DE GOIAS;6914;7021;7194;7434;7704;7989;8275;8570;8861;9152;9449;9743;10030;10308;10606;10936;11182;11428
520080;ALVORADA DO NORTE;8257;8285;8313;8356;8392;8442;8477;8506;8536;8553;8572;8589;8599;8596;8580;8597;8619;8641
520082;AMARALINA;3494;3503;3501;3484;3471;3458;3455;3441;3421;3408;3388;3382;3354;3324;3279;3281;3267;3253
520085;AMERICANO DO BRASIL;5579;5605;5599;5592;5570;5552;5534;5512;5484;5457;5440;5418;5382;5341;5301;5281;5260;5239
520090;AMORINOPOLIS;3716;3664;3614;3550;3498;3450;3399;3343;3279;3234;3196;3150;3088;3038;2967;2952;2906;2860
520110;ANAPOLIS;340829;345386;349996;355305;360941;366678;372371;377757;382892;387985;393282;398485;402912;406938;411305;415847;420300;424753
520120;ANHANGUERA;1004;1011;1016;1016;1009;999;993;990;982;972;967;953;941;935;899;921;913;905
520130;ANICUNS;20595;20614;20523;20404;20258;20108;19955;19802;19636;19474;19338;19186;19005;18816;18628;18443;18306;18169
520140;APARECIDA DE GOIANIA;459447;469363;477388;485009;492221;499508;506733;513376;519269;524546;529750;534764;538915;542566;546588;550925;556021;561117
520145;APARECIDA DO RIO DOCE;2488;2494;2506;2527;2567;2613;2653;2692;2748;2783;2829;2876;2921;2951;2955;3012;3045;3078
520150;APORE;3842;3884;3929;3977;4024;4077;4119;4167;4212;4242;4277;4325;4353;4381;4398;4452;4488;4524
520160;ARACU;3937;3912;3895;3882;3887;3886;3886;3884;3878;3874;3878;3879;3867;3845;3816;3842;3840;3838
520170;ARAGARCAS;18617;18690;18711;18742;18766;18788;18814;18826;18817;18811;18809;18800;18772;18700;18643;18604;18601;18598
520180;ARAGOIANIA;8288;8492;8717;8965;9253;9545;9851;10144;10445;10742;11056;11370;11662;11944;12235;12554;12806;13058
520215;ARAGUAPAZ;7700;7699;7668;7648;7630;7598;7579;7533;7503;7455;7422;7391;7340;7277;7223;7182;7152;7122
520235;ARENOPOLIS;3413;3350;3314;3275;3249;3228;3203;3159;3129;3094;3079;3045;3010;2983;2930;2930;2904;2878
520250;ARUANA;7414;7600;7719;7821;7900;7979;8064;8144;8203;8269;8327;8380;8424;8448;8475;8515;8570;8625
520260;AURILANDIA;3797;3739;3692;3656;3618;3587;3547;3512;3472;3445;3416;3398;3361;3332;3271;3266;3237;3208
520280;AVELINOPOLIS;2530;2537;2541;2572;2608;2650;2688;2727;2773;2798;2836;2875;2901;2919;2915;2963;2993;3023
520310;BALIZA;3602;3692;3724;3706;3681;3647;3606;3573;3531;3502;3487;3458;3422;3393;3340;3335;3306;3277
520320;BARRO ALTO;8635;8838;8991;9132;9264;9426;9575;9715;9847;9976;10122;10268;10397;10507;10617;10738;10853;10968
520330;BELA VISTA DE GOIAS;24402;24971;25603;26350;27157;27990;28858;29715;30570;31421;32300;33181;34024;34840;35693;36583;37305;38027
520340;BOM JARDIM DE GOIAS;8608;8604;8555;8511;8463;8411;8359;8298;8249;8190;8143;8089;8025;7944;7872;7824;7775;7726
520350;BOM JESUS DE GOIAS;20651;21032;21358;21689;21996;22306;22606;22890;23142;23388;23627;23875;24065;24247;24460;24701;24925;25149
520355;BONFINOPOLIS;7433;7644;7842;8046;8278;8518;8762;9002;9240;9466;9715;9959;10186;10398;10601;10828;11025;11222
520357;BONOPOLIS;3484;3528;3549;3537;3518;3505;3486;3454;3437;3421;3414;3395;3375;3341;3296;3306;3289;3272
520360;BRAZABRANTES;3280;3321;3368;3419;3477;3540;3616;3676;3740;3797;3865;3938;3988;4048;4077;4149;4201;4253
520380;BRITANIA;5620;5635;5635;5649;5672;5684;5701;5707;5729;5734;5749;5778;5784;5785;5781;5788;5798;5808
520390;BURITI ALEGRE;9226;9269;9338;9440;9556;9688;9813;9936;10055;10168;10305;10434;10535;10620;10721;10831;10930;11029
520393;BURITI DE GOIAS;2635;2629;2629;2626;2633;2651;2666;2686;2698;2717;2737;2748;2763;2776;2754;2789;2800;2811
520396;BURITINOPOLIS;3394;3376;3368;3364;3350;3332;3316;3305;3276;3255;3245;3230;3202;3182;3140;3154;3140;3126
520400;CABECEIRAS;7505;7539;7560;7585;7616;7645;7670;7694;7706;7710;7714;7720;7717;7694;7676;7678;7689;7700
520410;CACHOEIRA ALTA;10583;10736;10840;10948;11047;11147;11240;11327;11401;11461;11537;11615;11655;11690;11723;11789;11854;11919
520420;CACHOEIRA DE GOIAS;1452;1439;1439;1436;1440;1442;1447;1445;1447;1436;1443;1434;1429;1429;1397;1419;1417;1415
520425;CACHOEIRA DOURADA;8475;8432;8384;8359;8323;8278;8241;8189;8153;8094;8056;8010;7944;7878;7828;7801;7762;7723
520430;CACU;13320;13505;13607;13684;13735;13783;13830;13868;13904;13932;13976;14009;14010;14002;14001;14006;14034;14062
520440;CAIAPONIA;16983;17083;17108;17101;17083;17072;17051;17019;16986;16953;16928;16916;16868;16782;16711;16655;16628;16601
520450;CALDAS NOVAS;70053;72055;74007;76111;78365;80747;83221;85662;88081;90509;93017;95540;97913;100163;102458;104788;106820;108852
520455;CALDAZINHA;3385;3432;3492;3561;3651;3757;3867;3975;4073;4174;4279;4393;4489;4572;4630;4735;4819;4903
520460;CAMPESTRE DE GOIAS;3460;3454;3477;3496;3528;3559;3591;3611;3650;3678;3727;3771;3787;3811;3809;3854;3879;3904
520465;CAMPINACU;3765;3751;3745;3751;3748;3757;3765;3758;3774;3768;3776;3780;3770;3769;3738;3758;3760;3762
520470;CAMPINORTE;11105;11230;11329;11456;11587;11728;11870;11993;12122;12229;12363;12502;12603;12686;12768;12879;12983;13087
520480;CAMPO ALEGRE DE GOIAS;6015;6160;6294;6419;6545;6681;6816;6931;7052;7148;7260;7353;7450;7534;7604;7711;7807;7903
520485;CAMPO LIMPO DE GOIAS;6185;6341;6495;6630;6800;6959;7124;7288;7434;7580;7743;7895;8037;8164;8287;8449;8579;8709
520490;CAMPOS BELOS;18823;18878;18875;18898;18902;18899;18906;18885;18849;18789;18735;18676;18593;18468;18358;18258;18227;18196
520495;CAMPOS VERDES;5364;5161;5015;4908;4816;4723;4628;4530;4427;4340;4265;4191;4108;4031;3943;3899;3822;3745
520500;CARMO DO RIO VERDE;9074;9153;9202;9270;9330;9409;9483;9555;9615;9682;9749;9808;9859;9881;9904;9937;9988;10039
520505;CASTELANDIA;3700;3657;3626;3582;3534;3464;3409;3349;3282;3211;3161;3109;3053;2991;2928;2921;2871;2821
520510;CATALAO;86641;88888;91047;93350;95698;98109;100528;102886;105193;107464;109788;112087;114201;116261;118461;120789;122760;124731
520520;CATURAI;4764;4814;4848;4891;4948;4994;5050;5096;5140;5181;5203;5239;5258;5270;5280;5318;5352;5386
520530;CAVALCANTE;9638;9638;9650;9677;9716;9752;9788;9807;9815;9811;9805;9807;9785;9741;9727;9721;9730;9739
520540;CERES;21128;21200;21263;21356;21474;21592;21716;21816;21913;22027;22152;22264;22339;22376;22425;22484;22570;22656
520545;CEZARINA;7656;7722;7753;7785;7842;7888;7936;7985;8028;8078;8126;8182;8220;8228;8241;8265;8301;8337
520547;CHAPADAO DO CEU;6736;7079;7404;7759;8169;8624;9132;9646;10171;10694;11254;11832;12399;12924;13401;13897;14321;14745
520549;CIDADE OCIDENTAL;55225;56989;59100;61607;64387;67315;70363;73455;76510;79555;82704;85908;89079;92248;95525;98963;101570;104177
520551;COCALZINHO DE GOIAS;17477;17798;18228;18784;19416;20085;20784;21459;22143;22794;23463;24139;24781;25388;26001;26638;27196;27754
520552;COLINAS DO SUL;3652;3640;3652;3683;3728;3775;3825;3875;3923;3955;3999;4043;4078;4101;4102;4153;4188;4223
520570;CORREGO DO OURO;2740;2694;2664;2649;2643;2618;2603;2592;2566;2553;2544;2533;2513;2492;2452;2456;2441;2426
520580;CORUMBA DE GOIAS;10583;10610;10641;10680;10713;10749;10781;10798;10807;10817;10823;10819;10800;10766;10731;10714;10724;10734
520590;CORUMBAIBA;8211;8322;8417;8503;8593;8687;8774;8867;8949;9020;9113;9173;9239;9283;9338;9416;9484;9552
520620;CRISTALINA;46342;47510;48671;49944;51258;52617;53982;55320;56615;57911;59241;60577;61833;63062;64355;65705;66827;67949
520630;CRISTIANOPOLIS;3007;3010;3029;3075;3125;3181;3239;3288;3327;3379;3429;3488;3522;3563;3570;3630;3670;3710
520640;CRIXAS;16063;16130;16197;16302;16422;16548;16671;16775;16880;16976;17080;17193;17267;17315;17370;17445;17532;17619
520650;CROMINIA;3666;3652;3666;3685;3712;3743;3777;3805;3831;3865;3886;3923;3939;3948;3936;3977;3999;4021
520660;CUMARI;3063;3042;3041;3034;3028;3031;3036;3030;3025;3012;3009;3004;2989;2982;2949;2955;2951;2947
520670;DAMIANOPOLIS;3367;3382;3397;3430;3477;3525;3564;3604;3642;3687;3729;3775;3797;3827;3828;3884;3917;3950
520680;DAMOLANDIA;2769;2782;2790;2791;2795;2800;2801;2801;2799;2786;2790;2783;2770;2770;2737;2755;2753;2751
520690;DAVINOPOLIS;2084;2091;2090;2075;2066;2063;2053;2038;2017;2002;1986;1974;1940;1924;1876;1901;1889;1877
520710;DIORAMA;2502;2485;2460;2438;2399;2364;2326;2287;2244;2206;2171;2147;2105;2073;2024;2023;1991;1959
520725;DOVERLANDIA;8130;8050;7956;7877;7796;7713;7626;7540;7444;7357;7292;7218;7136;7038;6959;6895;6823;6751
520735;EDEALINA;3829;3822;3828;3837;3868;3888;3919;3927;3953;3971;3997;4030;4031;4048;4047;4087;4104;4121
520740;EDEIA;11442;11491;11526;11578;11619;11662;11710;11736;11774;11802;11848;11892;11909;11921;11929;11953;11982;12011
520750;ESTRELA DO NORTE;3404;3392;3367;3360;3360;3344;3338;3325;3318;3301;3289;3275;3263;3249;3205;3224;3214;3204
520753;FAINA;7225;7182;7157;7159;7163;7178;7184;7198;7208;7206;7220;7233;7220;7197;7177;7164;7167;7170
520760;FAZENDA NOVA;6581;6505;6445;6397;6357;6324;6282;6246;6205;6172;6129;6091;6033;5978;5917;5878;5842;5806
520780;FIRMINOPOLIS;11645;11714;11682;11602;11504;11395;11282;11172;11063;10962;10880;10790;10679;10566;10458;10365;10274;10183
520790;FLORES DE GOIAS;11798;12165;12399;12590;12750;12923;13070;13232;13376;13494;13631;13762;13873;13961;14062;14156;14273;14390
520800;FORMOSA;101613;103303;104749;106231;107704;109211;110720;112104;113357;114539;115721;116889;117850;118685;119580;120478;121559;122640
520810;FORMOSO;5080;5023;4967;4938;4915;4892;4869;4844;4827;4812;4804;4792;4769;4736;4691;4681;4662;4643
520815;GAMELEIRA DE GOIAS;3151;3199;3236;3269;3300;3319;3352;3383;3418;3434;3464;3488;3498;3510;3504;3542;3563;3584
520830;DIVINOPOLIS DE GOIAS;5032;5001;4973;4950;4918;4888;4855;4820;4771;4726;4678;4633;4569;4516;4456;4440;4405;4370
520840;GOIANAPOLIS;11374;11416;11544;11751;12005;12260;12511;12759;12992;13219;13459;13695;13915;14116;14321;14555;14758;14961
520850;GOIANDIRA;5357;5365;5358;5344;5319;5298;5281;5261;5220;5200;5173;5149;5101;5054;5007;4986;4962;4938
520860;GOIANESIA;60287;61246;62235;63379;64617;65888;67177;68399;69568;70710;71875;73030;74043;74973;75975;77014;78009;79004
520870;GOIANIA;1344439;1360468;1372822;1385729;1398193;1410998;1423379;1434774;1444625;1454383;1463895;1472999;1479439;1484357;1493064;1494599;1503256;1511913
520880;GOIANIRA;32585;34384;36292;38466;40953;43741;46769;49922;53194;56575;60132;63860;67628;71346;74982;78754;81495;84236
520890;GOIAS;25743;25503;25322;25244;25203;25167;25129;25073;24996;24929;24874;24805;24683;24523;24384;24233;24172;24111
520910;GOIATUBA;33514;33642;33830;34102;34407;34714;35018;35281;35533;35745;35990;36187;36344;36449;36597;36777;36984;37191
520915;GOUVELANDIA;4928;4992;5001;4972;4930;4882;4834;4785;4724;4666;4625;4561;4503;4445;4375;4356;4313;4270
520920;GUAPO;14223;14322;14550;14912;15348;15805;16270;16733;17205;17679;18167;18677;19149;19611;20082;20588;20985;21382
520929;GUARAITA;2451;2428;2394;2375;2367;2356;2334;2312;2300;2277;2270;2253;2227;2215;2169;2185;2170;2155
520940;GUARANI DE GOIAS;4417;4381;4355;4351;4335;4328;4319;4306;4289;4260;4240;4222;4187;4159;4116;4106;4091;4076
520945;GUARINOS;2407;2364;2343;2319;2312;2297;2296;2288;2270;2255;2251;2233;2216;2199;2151;2165;2154;2143
520960;HEITORAI;3641;3635;3622;3615;3592;3573;3556;3538;3510;3484;3467;3454;3427;3400;3358;3360;3342;3324
520970;HIDROLANDIA;17062;17566;18166;18877;19690;20523;21404;22295;23181;24090;25021;25980;26916;27839;28800;29827;30587;31347
520980;HIDROLINA;4169;4116;4074;4028;3987;3946;3904;3864;3824;3778;3739;3697;3646;3597;3535;3514;3477;3440
520990;IACIARA;12570;12628;12586;12495;12353;12224;12073;11915;11735;11557;11367;11185;10996;10794;10610;10430;10289;10148
520993;INACIOLANDIA;5816;5846;5869;5893;5928;5959;5981;6006;6018;6038;6059;6076;6071;6057;6055;6061;6076;6091
520995;INDIARA;13867;14030;14242;14516;14814;15114;15439;15750;16038;16306;16584;16831;17082;17293;17504;17747;17985;18223
521000;INHUMAS;49516;49806;50054;50378;50743;51109;51466;51783;52066;52355;52688;53001;53192;53322;53478;53629;53884;54139
521010;IPAMERI;25183;25294;25365;25463;25553;25660;25750;25839;25907;25974;26065;26145;26181;26157;26166;26163;26223;26283
521015;IPIRANGA DE GOIAS;2921;2914;2909;2909;2915;2924;2939;2949;2954;2965;2966;2983;2988;2979;2938;2964;2968;2972
521020;IPORA;32397;32434;32585;32865;33230;33606;33974;34327;34663;35037;35446;35839;36141;36403;36691;36983;37283;37583
