UF;Município;Semana Epidemiológica;casos;obitos;Ano;cod_mun
GO;ACREUNA;26;1;0;2019;520013
GO;ANAPOLIS;1;1;1;2019;520110
GO;ANAPOLIS;4;1;0;2019;520110
GO;ANAPOLIS;5;3;0;2019;520110
GO;ANAPOLIS;8;3;1;2019;520110
GO;ANAPOLIS;9;6;0;2019;520110
GO;ANAPOLIS;10;1;0;2019;520110
GO;ANAPOLIS;11;3;0;2019;520110
GO;ANAPOLIS;12;5;0;2019;520110
GO;ANAPOLIS;13;2;0;2019;520110
GO;ANAPOLIS;14;8;0;2019;520110
GO;ANAPOLIS;15;2;0;2019;520110
GO;ANAPOLIS;16;2;0;2019;520110
GO;ANAPOLIS;17;2;0;2019;520110
GO;ANAPOLIS;18;1;0;2019;520110
GO;ANAPOLIS;19;2;0;2019;520110
GO;ANAPOLIS;20;2;1;2019;520110
GO;ANAPOLIS;21;7;1;2019;520110
GO;ANAPOLIS;22;6;1;2019;520110
GO;ANAPOLIS;23;5;4;2019;520110
GO;ANAPOLIS;24;3;2;2019;520110
GO;ANAPOLIS;25;5;2;2019;520110
GO;ANAPOLIS;26;4;0;2019;520110
GO;ANAPOLIS;27;1;0;2019;520110
GO;ANAPOLIS;28;5;3;2019;520110
GO;ANAPOLIS;29;1;0;2019;520110
GO;ANAPOLIS;30;2;0;2019;520110
GO;ANAPOLIS;32;2;1;2019;520110
GO;ANAPOLIS;33;2;0;2019;520110
GO;ANAPOLIS;34;3;1;2019;520110
GO;ANAPOLIS;35;1;1;2019;520110
GO;ANAPOLIS;36;2;0;2019;520110
GO;ANAPOLIS;37;1;0;2019;520110
GO;ANAPOLIS;41;1;0;2019;520110
GO;ANAPOLIS;42;1;0;2019;520110
GO;ANAPOLIS;43;3;1;2019;520110
GO;ANAPOLIS;44;1;0;2019;520110
GO;ANAPOLIS;45;2;0;2019;520110
GO;ANAPOLIS;46;1;0;2019;520110
GO;ANAPOLIS;47;3;0;2019;520110
GO;ANAPOLIS;48;1;0;2019;520110
GO;ANAPOLIS;49;1;1;2019;520110
GO;ANAPOLIS;51;1;1;2019;520110
GO;APARECIDA DE GOIANIA;2;1;0;2019;520140
GO;APARECIDA DE GOIANIA;8;2;0;2019;520140
GO;APARECIDA DE GOIANIA;9;3;0;2019;520140
GO;APARECIDA DE GOIANIA;10;1;0;2019;520140
GO;APARECIDA DE GOIANIA;11;3;1;2019;520140
GO;APARECIDA DE GOIANIA;12;3;1;2019;520140
GO;APARECIDA DE GOIANIA;13;2;0;2019;520140
GO;APARECIDA DE GOIANIA;14;3;0;2019;520140
GO;APARECIDA DE GOIANIA;15;4;1;2019;520140
GO;APARECIDA DE GOIANIA;16;2;0;2019;520140
GO;APARECIDA DE GOIANIA;17;5;1;2019;520140
GO;APARECIDA DE GOIANIA;18;2;0;2019;520140
GO;APARECIDA DE GOIANIA;19;4;0;2019;520140
GO;APARECIDA DE GOIANIA;20;5;0;2019;520140
GO;APARECIDA DE GOIANIA;21;4;2;2019;520140
GO;APARECIDA DE GOIANIA;22;9;2;2019;520140
GO;APARECIDA DE GOIANIA;23;3;0;2019;520140
GO;APARECIDA DE GOIANIA;24;2;1;2019;520140
GO;APARECIDA DE GOIANIA;25;2;1;2019;520140
GO;APARECIDA DE GOIANIA;26;1;0;2019;520140
GO;APARECIDA DE GOIANIA;27;3;2;2019;520140
GO;APARECIDA DE GOIANIA;28;1;0;2019;520140
GO;APARECIDA DE GOIANIA;29;2;0;2019;520140
GO;APARECIDA DE GOIANIA;30;2;1;2019;520140
GO;APARECIDA DE GOIANIA;32;2;0;2019;520140
GO;APARECIDA DE GOIANIA;33;4;0;2019;520140
GO;APARECIDA DE GOIANIA;35;2;0;2019;520140
GO;APARECIDA DE GOIANIA;36;1;0;2019;520140
GO;APARECIDA DE GOIANIA;38;1;0;2019;520140
GO;APARECIDA DE GOIANIA;40;1;0;2019;520140
GO;APARECIDA DE GOIANIA;41;3;1;2019;520140
GO;APARECIDA DE GOIANIA;42;1;0;2019;520140
GO;APARECIDA DE GOIANIA;43;2;0;2019;520140
GO;APARECIDA DE GOIANIA;45;1;0;2019;520140
GO;APARECIDA DE GOIANIA;47;1;1;2019;520140
GO;APARECIDA DE GOIANIA;48;1;0;2019;520140
GO;APARECIDA DE GOIANIA;49;2;0;2019;520140
GO;APARECIDA DE GOIANIA;51;1;1;2019;520140
GO;ARENOPOLIS;21;1;0;2019;520235
GO;ARENOPOLIS;27;1;0;2019;520235
GO;BELA VISTA DE GOIAS;13;1;0;2019;520330
GO;BELA VISTA DE GOIAS;20;1;0;2019;520330
GO;BOM JESUS DE GOIAS;25;1;1;2019;520350
GO;CALDAS NOVAS;14;1;0;2019;520450
GO;CALDAS NOVAS;16;3;0;2019;520450
GO;CALDAS NOVAS;19;1;0;2019;520450
GO;CALDAS NOVAS;20;1;1;2019;520450
GO;CALDAS NOVAS;21;2;1;2019;520450
GO;CALDAS NOVAS;23;2;0;2019;520450
GO;CALDAS NOVAS;24;1;1;2019;520450
GO;CALDAS NOVAS;27;2;2;2019;520450
GO;CALDAS NOVAS;28;2;1;2019;520450
GO;CALDAS NOVAS;29;1;0;2019;520450
GO;CALDAS NOVAS;31;1;0;2019;520450
GO;CALDAS NOVAS;39;1;0;2019;520450
GO;CALDAS NOVAS;40;1;0;2019;520450
GO;CALDAS NOVAS;41;1;1;2019;520450
GO;CALDAS NOVAS;42;1;0;2019;520450
