cod_mun;Município;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520005;ABADIA DE GOIAS;96,74;18,88;37,04;79,87;58,44;51,5;73,98;40,82;5,06;11,02
520010;ABADIANIA;73,19;20;17,68;70,87;38,35;60,42;59,8;69,12;61,8;45,45
520013;ACREUNA;30,07;38,98;58,03;106,51;69,86;74,4;83,03;61,99;11,76;27,67
520015;ADELANDIA;40,74;78,57;26,92;114,29;76,19;28;118,18;122,73;4,17;41,18
520017;AGUA FRIA DE GOIAS;53,06;156,6;76,47;107,27;109,09;93,62;156,82;136,36;5,77;29,23
520020;AGUA LIMPA;4,55;100;76,47;117,39;65,22;152,63;140,91;45,45;45,45;63,64
520025;AGUAS LINDAS DE GOIAS;16,32;68,48;41,32;46,97;48,69;53,49;73,69;63,1;6,85;28,31
520030;ALEXANIA;42,9;121,11;45,53;114,79;75,44;81,53;64,3;52,86;3,64;27,43
520050;ALOANDIA;26,09;36;36;103,12;53,12;43,48;26,67;33,33;13,33;13,79
520055;ALTO HORIZONTE;69,23;92,22;34,67;122,11;74,74;88,54;104,88;53,66;16,22;27,05
520060;ALTO PARAISO DE GOIAS;29,21;57,58;12,87;140;108,89;79,55;62,07;64,83;17,7;28,06
520080;ALVORADA DO NORTE;72;34,01;45,53;97,01;53,73;51,18;75,74;66,18;4,03;28,87
520082;AMARALINA;20,69;115;42,86;150;72,73;116;92,31;73,08;29,63;20
520085;AMERICANO DO BRASIL;62,86;35,05;37,18;87,5;61,25;72,92;90,48;66,67;7,23;10,42
520090;AMORINOPOLIS;34,15;9,76;90,32;56,1;80,49;45,71;76,32;52,63;8,11;11,76
520110;ANAPOLIS;47,6;91,55;48,17;94,31;58,86;65,2;68,28;49,06;6,09;13,58
520120;ANHANGUERA;71,43;310;38,46;50;187,5;23,08;128,57;71,43;0;25
520130;ANICUNS;27,57;84,75;22,54;87,5;48,15;66,94;73,98;80,1;25,36;21,99
520140;APARECIDA DE GOIANIA;21,91;87,83;130,4;102,76;52,29;40,49;73,69;42,5;1,97;22,87
520145;APARECIDA DO RIO DOCE;50;55,56;105;165;62,5;72,22;141,67;150;27,78;32,26
520150;APORE;76,47;40,91;31,43;73,24;40,85;35,94;64,62;43,08;14,71;39,22
520160;ARACU;76,92;47,62;54,84;56,52;39,13;93,94;59,65;47,37;26,83;40
520170;ARAGARCAS;13,91;18,82;30,5;71,75;48,05;51,38;79,84;43,62;8,71;18,59
520180;ARAGOIANIA;40,91;41,03;23,62;58,41;87,61;63,64;85,04;64,57;15,79;23,91
520215;ARAGUAPAZ;46,51;27,03;56,67;212,77;131,91;52,27;85,87;33,7;11,11;1,96
520235;ARENOPOLIS;45,16;51,52;94,87;102,33;58,14;82,86;120,51;74,36;7,14;10,81
520250;ARUANA;41,33;101,71;30,69;40,85;35,21;58,42;64,17;63,33;4;6,19
520260;AURILANDIA;16,67;43,24;64,29;117,14;77,14;92;89,29;85,71;24;22,58
520280;AVELINOPOLIS;50;104;17,39;152,63;121,05;59,09;155,56;116,67;12;26,09
520310;BALIZA;7,32;38,71;23,68;68;72;37,5;77,42;70,97;9,68;72,73
520320;BARRO ALTO;88;60;51,58;121,49;95,87;65,31;63,83;55,32;18,29;10,49
520330;BELA VISTA DE GOIAS;29,58;142,74;45,21;70,96;45,75;72,25;58,57;33,41;2,36;11,39
520340;BOM JARDIM DE GOIAS;37,5;26,55;69,7;116,67;100;70;94,95;62,63;9,35;23,91
520350;BOM JESUS DE GOIAS;36,74;49,58;73,85;103,27;67,56;64,14;80,74;76,49;10,6;9,78
520355;BONFINOPOLIS;29,59;176,72;61,47;89,38;72,57;113,93;152,21;76,99;13,91;23,64
520357;BONOPOLIS;92,11;113,33;58,97;100;69,23;100;113,89;69,44;2;52,5
520360;BRAZABRANTES;71,43;48,78;60;146,67;75,56;60;78;30;27,27;35,42
520380;BRITANIA;16,9;115,38;60,81;102,99;91,04;68,24;52,87;58,62;12,66;18,52
