cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520005;ABADIA DE GOIAS;110,78;97,06;103,92;200;158,04;141,48;108,44;103,25;80,5;71,94;64,29;68,35;77,17
520010;ABADIANIA;164,8;216,76;157,54;263,77;75,61;68,9;54,85;46,6;85,42;79,41;85,78;110,11;124,6
520013;ACREUNA;87,22;102,63;107,14;123,19;87,54;105,47;92,12;93,84;111,6;104,43;81,18;114,51;88,54
520015;ADELANDIA;85,19;74,07;118,52;229,63;178,57;111,54;104,76;119,05;96;145,45;122,73;25;141,18
520017;AGUA FRIA DE GOIAS;113,33;82,22;151,11;120,41;20,75;121,57;114,55;121,82;114,89;165,91;170,45;125;104,62
520020;AGUA LIMPA;153,85;207,69;84,62;77,27;115;158,82;130,43;113,04;168,42;118,18;68,18;181,82;154,55
520025;AGUAS LINDAS DE GOIAS;128,62;108,52;135,57;102,81;189,08;78,49;47,37;64,01;77,61;107,36;100,78;93,41;93,64
520030;ALEXANIA;96,88;116,51;108,41;105,68;176,25;89,21;103,26;94,24;94,58;80,55;62,93;65,83;76,7
520050;ALOANDIA;100;83,33;83,33;78,26;76;96;93,75;56,25;73,91;86,67;66,67;113,33;55,17
520055;ALTO HORIZONTE;110,77;103,08;138,46;133,33;126,67;109,33;111,58;115,79;115,62;108,94;79,67;93,69;79,51
520060;ALTO PARAISO DE GOIAS;114,71;106,86;106,86;170,79;140,4;98,02;132,22;127,78;106,82;75,17;77,93;102,65;86,33
520080;ALVORADA DO NORTE;92,67;126;94,67;219;72,79;104,88;93,28;78,36;97,64;80,15;120,59;88,59;78,87
520082;AMARALINA;125;185;105;137,93;115;100;81,82;113,64;100;115,38;38,46;77,78;125
520085;AMERICANO DO BRASIL;95,24;136,51;141,27;178,57;84,54;80,77;95;78,75;150;91,67;75;73,49;73,96
520090;AMORINOPOLIS;80;104,44;88,89;139,02;82,93;116,13;75,61;121,95;88,57;94,74;100;89,19;91,18
520110;ANAPOLIS;94,71;108,52;95,32;119,59;109,69;94,38;90;86,25;85,84;82,29;80,68;77,23;71,64
520120;ANHANGUERA;350;160;130;200;160;84,62;62,5;250;61,54;85,71;114,29;100;112,5
520130;ANICUNS;98,04;111,76;78,43;146,73;108,97;70,42;46,3;98,61;62,81;85,71;131,63;100,96;93,19
520140;APARECIDA DE GOIANIA;117,64;155,18;102,62;115,51;154,42;115,06;99,61;67,2;74,45;88,85;71,21;40,53;88,33
520145;APARECIDA DO RIO DOCE;160,71;96,43;185,71;135,71;114,81;225;160;92,5;105,56;141,67;233,33;152,78;116,13
520150;APORE;94,92;98,31;76,27;145,1;87,88;72,86;74,65;64,79;60,94;80;67,69;54,41;101,96
520160;ARACU;120;102,22;113,33;292,31;142,86;103,23;65,22;82,61;124,24;87,72;57,89;87,8;104
520170;ARAGARCAS;77,08;114,95;78,07;89,64;96,17;78,72;78,9;58,44;85,38;104,53;68,31;70,95;85,43
520180;ARAGOIANIA;121,93;80,7;101,75;150;194,87;35,43;78,76;125,66;112,12;98,43;119,69;97,74;115,94
520215;ARAGUAPAZ;87,5;79,17;94,79;129,07;118,92;133,33;189,36;180,85;104,55;101,09;54,35;92,59;100
520235;ARENOPOLIS;151,61;245,16;158,06;161,29;145,45;115,38;74,42;79,07;85,71;151,28;84,62;66,67;56,76
520250;ARUANA;132,89;147,37;139,47;209,33;152,99;80,2;47,89;52,82;85,15;80;75;56;69,07
520260;AURILANDIA;118,75;112,5;125;92,86;94,59;132,14;97,14;97,14;112;92,86;67,86;144;80,65
520280;AVELINOPOLIS;121,21;115,15;87,88;260;212;217,39;242,11;168,42;95,45;150;150;164;100
520310;BALIZA;88,24;79,41;70,59;124,39;90,32;89,47;52;68;100;74,19;77,42;74,19;106,06
520320;BARRO ALTO;72;121;106;180,8;115,83;120;109,92;115,7;92,52;91,49;82,27;64,02;71,6
520330;BELA VISTA DE GOIAS;117,7;125,25;98,03;148,24;153,56;81,37;70,96;79,73;96,07;77,22;33,62;30,19;46,41
520340;BOM JARDIM DE GOIAS;125,58;101,16;95,35;146,15;79,65;106,06;152,78;108,33;95;117,17;108,08;82,24;113,04
