cod_mun;Município;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520005;ABADIA DE GOIAS;142,39;49,65;54,81;79,87;75,32;60;84,18;52,04;13,92;35,04
520010;ABADIANIA;102,17;34,63;31,1;70,39;42,72;68,23;61,76;70,1;62,92;46,52
520013;ACREUNA;76,45;73,16;71,17;106,51;84,93;101,2;99,26;80,44;41,96;92,09
520015;ADELANDIA;40,74;89,29;61,54;114,29;95,24;76;122,73;127,27;20,83;105,88
520017;AGUA FRIA DE GOIAS;55,1;162,26;76,47;107,27;112,73;165,96;159,09;145,45;5,77;29,23
520020;AGUA LIMPA;27,27;100;88,24;117,39;78,26;157,89;140,91;77,27;145,45;127,27
520025;AGUAS LINDAS DE GOIAS;30,64;68,02;40,5;46,74;55,54;62,85;82,13;72,36;33,18;44,07
520030;ALEXANIA;106,53;121,11;49,74;114,79;94,49;92,61;71,62;67,51;27,56;28,64
520050;ALOANDIA;26,09;48;48;103,12;53,12;47,83;26,67;33,33;20;17,24
520055;ALTO HORIZONTE;101,28;106,67;56;122,11;80;101,04;112,2;62,6;81,98;63,11
520060;ALTO PARAISO DE GOIAS;87,64;97,98;64,36;140;108,89;80,3;64,14;73,79;74,34;72,66
520080;ALVORADA DO NORTE;130;58,5;84,55;97,01;63,43;77,17;77,94;98,53;74,5;64,79
520082;AMARALINA;20,69;115;61,9;150;86,36;124;100;73,08;37,04;35
520085;AMERICANO DO BRASIL;201,43;93,81;52,56;87,5;73,75;114,58;94,05;79,76;33,73;48,96
520090;AMORINOPOLIS;58,54;56,1;109,68;56,1;82,93;68,57;84,21;55,26;24,32;23,53
520110;ANAPOLIS;87,18;92,6;51,54;93,46;73,21;77,99;76,96;70,99;56,06;52,14
520120;ANHANGUERA;71,43;310;38,46;50;225;38,46;128,57;71,43;125;50
520130;ANICUNS;47,66;97,31;39,44;87,5;54,63;77,69;79,08;80,1;28,23;70,68
520140;APARECIDA DE GOIANIA;77,35;87,86;125,36;102,75;60,5;58;80,94;52,48;17,87;44,4
520145;APARECIDA DO RIO DOCE;221,43;96,3;165;165;82,5;102,78;141,67;241,67;97,22;122,58
520150;APORE;107,84;80,3;42,86;73,24;50,7;64,06;72,31;70,77;35,29;78,43
520160;ARACU;223,08;66,67;80,65;56,52;54,35;121,21;61,4;47,37;29,27;40
520170;ARAGARCAS;46,75;34,15;39,72;71,75;49,35;66,01;89,71;53,5;50,62;38,19
520180;ARAGOIANIA;50,91;65,81;30,71;58,41;98,23;81,82;91,34;93,7;78,95;81,88
520215;ARAGUAPAZ;119,77;90,54;86,67;212,77;138,3;104,55;103,26;51,09;62,96;94,12
520235;ARENOPOLIS;45,16;90,91;107,69;100;67,44;108,57;135,9;74,36;16,67;45,95
520250;ARUANA;60;103,42;43,56;40,85;51,41;67,33;73,33;63,33;4;30,93
520260;AURILANDIA;16,67;70,27;92,86;117,14;80;104;96,43;89,29;24;22,58
520280;AVELINOPOLIS;50;152;95,65;163,16;152,63;86,36;161,11;116,67;12;30,43
520310;BALIZA;9,76;64,52;39,47;68;76;41,67;77,42;83,87;9,68;75,76
520320;BARRO ALTO;124;90,83;63,16;121,49;98,35;78,23;64,54;73,05;54,88;59,26
520330;BELA VISTA DE GOIAS;54,23;142,74;56,16;70,68;57,53;89,79;73,32;44,9;20,13;38,19
520340;BOM JARDIM DE GOIAS;139,42;51,33;95,45;116,67;104,17;85;105,05;72,73;55,14;78,26
520350;BOM JESUS DE GOIAS;81,44;94,96;87,63;103,27;91,37;88,92;90,65;100,57;70,92;72,87
520355;BONFINOPOLIS;30,61;176,72;66,97;89,38;84,07;155,74;161,06;79,65;14,78;23,64
520357;BONOPOLIS;218,42;113,33;97,44;100;71,79;110,81;113,89;122,22;36;127,5
520360;BRAZABRANTES;100;87,8;75;146,67;86,67;118;104;78;93,94;70,83
520380;BRITANIA;25,35;129,49;75,68;102,99;92,54;75,29;71,26;72,41;59,49;70,37
520390;BURITI ALEGRE;116,33;187,27;89,9;58,88;95,33;109,09;84,93;73,97;82,95;72,95
520393;BURITI DE GOIAS;44;142,31;100;102,86;88,57;67,74;96,97;112,12;113,04;120,69
520396;BURITINOPOLIS;96,77;264,71;83,33;140,74;107,41;141,94;130;57,5;2,04;2,22
520400;CABECEIRAS;57,14;96,52;38,14;89,92;68,07;94,23;102;90;6,96;28
520410;CACHOEIRA ALTA;140,4;106,45;91,6;122,73;93,18;88,89;93,23;109,77;60,93;62,34
520420;CACHOEIRA DE GOIAS;107,14;135,71;65,22;184,62;146,15;64,71;140;120;42,86;70
520425;CACHOEIRA DOURADA;194,87;128,95;74,77;76,81;56,52;70,48;84,21;92,63;66,67;56,52
520430;CACU;106,4;87,39;73,46;117,16;101,78;83,43;82,84;74,56;59,88;68,32
520440;CAIAPONIA;49,7;95,83;78,49;94,62;76,88;108,06;108,45;73,71;79,79;77,01
520450;CALDAS NOVAS;78,54;55,71;32,11;85,26;68;75,86;80,09;70,68;50,44;61,9
520455;CALDAZINHA;2,78;85;220,93;53,06;32,65;128,21;83,33;66,67;22,22;33,33
520460;CAMPESTRE DE GOIAS;27,27;157,14;82,14;104;100;117,02;170,59;158,82;19,05;55,56
520465;CAMPINACU;9,09;39,53;23,81;25,58;41,86;55;81,58;68,42;124;65
520470;CAMPINORTE;109,26;130,19;67,09;100,62;88,89;78,7;106,08;80,41;78,38;81,68
520480;CAMPO ALEGRE DE GOIAS;38,36;146,3;72,6;106,45;95,16;98,51;102,82;122,54;78,16;64,86
520485;CAMPO LIMPO DE GOIAS;161,7;93,4;80,23;56,76;81,08;136,84;93,75;54,17;11,54;48,48
520490;CAMPOS BELOS;65,01;87,12;59,58;97,67;72,59;81,56;70,09;59,82;56,38;77,7
520495;CAMPOS VERDES;18,06;166,07;57,14;120,37;81,48;203,57;70;73,33;75,51;66,04
520500;CARMO DO RIO VERDE;103,66;89,01;104,13;79,39;70,23;75,2;64,17;74,17;49,53;58,16
520505;CASTELANDIA;29,63;74,36;100;164,29;139,29;93,75;132,35;114,71;117,5;105,71
520510;CATALAO;71,74;101,3;54,29;92,39;79,93;77,24;89,25;76,94;38,08;56,85
520520;CATURAI;168,09;107,55;107,14;128,3;111,32;140,35;127,87;50,82;2,04;37,93
520530;CAVALCANTE;51,08;89,58;81,41;117,89;112,2;66,43;80,71;83,57;80,95;45,45
520540;CERES;83,7;94,67;83,74;79,86;75,54;71,43;80,68;59,66;40,56;49,19
520545;CEZARINA;22,41;63,85;60,16;73,39;84,68;66,67;70,09;74,77;34,78;30,85
520547;CHAPADAO DO CEU;122,03;64,46;63,69;84,43;97,6;74,87;85,34;74,87;53,91;71,19
520549;CIDADE OCIDENTAL;77,75;90,87;103,91;75,91;77,09;96,86;102,64;67,03;61,47;72,37
520551;COCALZINHO DE GOIAS;185,64;115,76;73,58;143,42;121,05;110,87;118,22;124,77;104,31;65,23
520552;COLINAS DO SUL;95;192,68;80,43;89,47;128,95;140;126,53;44,9;100;86,11
520570;CORREGO DO OURO;20;191,67;117,39;105,88;70,59;110,71;75;65;91,43;92
520580;CORUMBA DE GOIAS;107,37;50,98;66,67;98,08;99,04;117,05;117;63;13,54;34,69
520590;CORUMBAIBA;66,36;73,39;103,12;105,88;87,25;94,79;96,94;89,8;103,66;94,74
520620;CRISTALINA;108,16;81,58;80,02;95,99;91,26;88,22;103,85;89,11;44,04;51,63
520630;CRISTIANOPOLIS;35,48;53,57;71,88;126,32;60,53;84;100;58,33;0;46,15
520640;CRIXAS;111,63;95,98;62,05;81,74;65,56;88,41;73,25;49,79;69,42;63,76
520650;CROMINIA;138,24;226,09;6,67;155,56;102,78;103,03;106,45;109,68;139,13;71,43
520660;CUMARI;41,67;56,25;73,08;89,19;67,57;142,86;74,19;106,45;13,89;112,5
520670;DAMIANOPOLIS;100;104,76;85,42;76,92;82,69;110,87;104,35;121,74;75;90,91
520680;DAMOLANDIA;72,97;144,83;96,55;140;144;88,57;77,42;135,48;75;30
520690;DAVINOPOLIS;50;135,29;81,25;163,64;172,73;137,5;62,5;56,25;75;92,86
520710;DIORAMA;165;122,22;127,78;96,55;48,28;137,5;104,76;104,76;13,64;39,29
520725;DOVERLANDIA;30,88;102,63;100;82,47;78,35;75,26;142,42;106,06;89,06;95,59
520735;EDEALINA;95,65;101,96;82,98;40,54;100;114;80,39;113,73;76,19;86,11
520740;EDEIA;46,71;28,38;34,72;120,16;79,03;71,76;73,15;53,69;23,39;29,34
520750;ESTRELA DO NORTE;65,62;102,08;53,33;106,67;93,33;110,53;101,82;40;6,9;21,88
520753;FAINA;6,67;143,48;39,34;100;55,74;83,61;68,35;44,3;12,5;10,94
520760;FAZENDA NOVA;130,61;59,09;70,91;79,59;89,8;79,59;81,25;110,42;17,65;44,07
520780;FIRMINOPOLIS;25,66;153,19;80,22;100;87,1;86,17;92,93;82,83;68,42;75,26
520790;FLORES DE GOIAS;35,05;58,06;39,82;182,61;83,7;121,33;74,78;40;30,1;17,82
520800;FORMOSA;72,44;101,98;76,57;96,23;77,48;77,24;77,04;49,13;38,7;37,69
520810;FORMOSO;36,54;45,61;27,42;91,07;94,64;94,23;34,48;100;57,75;55,22
520815;GAMELEIRA DE GOIAS;68;65,52;67,74;80;65,71;100;76,19;78,57;114,29;39,13
520830;DIVINOPOLIS DE GOIAS;47,06;129,59;100;73,86;64,77;75,61;114,06;70,31;96,72;77,19
520840;GOIANAPOLIS;65,47;81,25;70,83;122,22;98,25;98,99;91,3;89,37;91,43;78,72
520850;GOIANDIRA;215;64,79;71,15;126,32;139,47;130,91;109,3;102,33;155,56;85,71
520860;GOIANESIA;82,06;76,41;42,74;85,47;86,65;81,29;80,77;82,15;50,78;73,57
520870;GOIANIA;79,05;87,08;74,53;71,44;68,37;76,61;68,47;67,38;67,5;54,95
520880;GOIANIRA;52,1;119,25;64,68;103,49;102,69;96,68;99,34;85,71;53,62;60,35
520890;GOIAS;66,44;68,5;31,51;35,58;45,19;62,54;78,21;51,07;22,89;41,74
520910;GOIATUBA;53,44;99,32;69,23;83,1;91,31;86,5;85,61;66,82;53,44;59,91
520915;GOUVELANDIA;125,58;98,18;64,62;130;64,29;141,46;77,08;93,75;3,85;45,65
520920;GUAPO;59,89;165,43;65,34;75,13;79,79;56,65;68,1;98,1;38,67;28,77
520929;GUARAITA;78,79;61,54;80;144,44;122,22;72,73;104,35;139,13;121,43;16
520940;GUARANI DE GOIAS;85,29;106,25;180,65;138,46;92,31;112,9;140;110;21,43;41,67
520945;GUARINOS;144,44;166,67;108,7;142,31;119,23;71,88;127,78;161,11;141,67;150
520960;HEITORAI;23,33;24,24;40,43;72,22;94,44;79,31;258,33;91,67;18;24,32
520970;HIDROLANDIA;36,62;37,34;37,68;81,99;71,06;90,91;109,67;81;46,71;44,24
520980;HIDROLINA;45,45;131,43;90;110,26;84,62;75;69,23;59,62;51,35;83,33
520990;IACIARA;27,91;71,35;66,83;89,3;89,3;70,7;78,62;74,84;102,44;65,14
520993;INACIOLANDIA;28,4;105,95;67,86;85,9;87,18;94,12;120,69;98,28;33,33;14,93
520995;INDIARA;71,76;135,68;21,03;64,8;60,4;51,5;82,21;75,48;33,76;32,65
521000;INHUMAS;19,04;103,74;32,1;54,49;42,23;84,63;93,81;74,37;60,45;74,33
521010;IPAMERI;71;115,87;127,92;93,31;85,99;66,57;71,35;75,64;75,24;69,9
521015;IPIRANGA DE GOIAS;48;108;89,47;110,34;117,24;83,87;91,3;39,13;51,52;240,74
521020;IPORA;113,76;57,11;68,48;102,23;90,82;87,76;73,42;65,09;25,11;37,45
521030;ISRAELANDIA;172;88,46;90,91;140;100;113,64;61,54;65,38;50;83,33
