,median
pct_pop_60mais,17.1
pct_pop_menor12,15.0
pib_per_capita,32918.13377836847
cadunico_pct_pop,52.92522566855621
caged_taxa_pop,0.5044560425130817
cobertura_aps,135.97
mapbiomas_pct_farming,71.4145
mapbiomas_pct_forest,25.337529166666666
mapbiomas_pct_non_forest_natural,0.4971875
mapbiomas_pct_non_vegetated,0.4688458333333333
mapbiomas_pct_water,0.3625291666666667
fogo_pct_territorio,0.2309
meteo_temp_media,25.18
meteo_temp_min,17.93
meteo_temp_max,34.325
meteo_temp_amplitude,18.01
meteo_precipitacao,2.6
meteo_umidade,66.2
month_sin,0.25
month_cos,-6.123233995736762e-17
fase_covid,2.0
baseline_srag_municipio,0.014697315025957749
year_trend,0.74999999990625
