model,feature,importance
Poisson_GLM,baseline_srag_municipio,0.54814
Poisson_GLM,year_trend,0.582545
Poisson_GLM,month_sin,0.33317
Poisson_GLM,month_cos,0.130248
Poisson_GLM,fase_covid,0.582545
Poisson_GLM,meteo_temp_media,0.444818
Poisson_GLM,meteo_temp_min,0.523397
Poisson_GLM,meteo_temp_max,0.276953
Poisson_GLM,meteo_temp_amplitude,0.151707
Poisson_GLM,meteo_precipitacao,0.189976
Poisson_GLM,meteo_umidade,0.634933
Poisson_GLM,fogo_pct_territorio,0.087682
Poisson_GLM,pct_pop_60mais,0.007423
Poisson_GLM,pib_per_capita,0.075115
Poisson_GLM,cadunico_pct_pop,0.604116
Poisson_GLM,caged_taxa_pop,0.028438
Poisson_GLM,cobertura_aps,0.118178
Poisson_GLM,mapbiomas_pct_forest,0.237187
Poisson_GLM,mapbiomas_pct_non_forest_natural,0.198129
Poisson_GLM,mapbiomas_pct_non_vegetated,0.025041
Poisson_GLM,mapbiomas_pct_water,0.196629
Random_Forest,baseline_srag_municipio,0.290905
Random_Forest,year_trend,0.056333
Random_Forest,month_sin,0.000766
Random_Forest,month_cos,0.000695
Random_Forest,fase_covid,0.066341
Random_Forest,meteo_temp_media,0.019093
Random_Forest,meteo_temp_min,0.016865
Random_Forest,meteo_temp_max,0.035639
Random_Forest,meteo_temp_amplitude,0.020146
Random_Forest,meteo_precipitacao,0.017001
Random_Forest,meteo_umidade,0.008401
Random_Forest,fogo_pct_territorio,0.029334
Random_Forest,pct_pop_60mais,0.050422
Random_Forest,pib_per_capita,0.056883
Random_Forest,cadunico_pct_pop,0.060151
Random_Forest,caged_taxa_pop,0.022241
Random_Forest,cobertura_aps,0.073705
Random_Forest,mapbiomas_pct_forest,0.023451
Random_Forest,mapbiomas_pct_non_forest_natural,0.023265
Random_Forest,mapbiomas_pct_non_vegetated,0.097921
Random_Forest,mapbiomas_pct_water,0.030441
XGBoost,baseline_srag_municipio,0.10964799672365189
XGBoost,year_trend,0.2060379981994629
XGBoost,month_sin,0.021208999678492546
XGBoost,month_cos,0.05498800054192543
XGBoost,fase_covid,0.14565299451351166
XGBoost,meteo_temp_media,0.01806900091469288
XGBoost,meteo_temp_min,0.019277000799775124
XGBoost,meteo_temp_max,0.027348000556230545
XGBoost,meteo_temp_amplitude,0.028581000864505768
XGBoost,meteo_precipitacao,0.02662000060081482
XGBoost,meteo_umidade,0.014580000191926956
XGBoost,fogo_pct_territorio,0.022311000153422356
XGBoost,pct_pop_60mais,0.03456899896264076
XGBoost,pib_per_capita,0.030755000188946724
XGBoost,cadunico_pct_pop,0.028734000399708748
XGBoost,caged_taxa_pop,0.01887499913573265
XGBoost,cobertura_aps,0.029148999601602554
XGBoost,mapbiomas_pct_forest,0.0344109982252121
XGBoost,mapbiomas_pct_non_forest_natural,0.030726000666618347
XGBoost,mapbiomas_pct_non_vegetated,0.07651100307703018
XGBoost,mapbiomas_pct_water,0.02194800041615963
