feature,grupo,selecionada,corr_target
pct_pop_60mais,opcional,True,0.0364
pct_pop_menor12,opcional,False,0.0026
pib_per_capita,opcional,True,0.0634
cadunico_pct_pop,opcional,True,0.1386
caged_taxa_pop,opcional,True,0.014
cobertura_aps,opcional,True,0.155
mapbiomas_pct_farming,opcional,False,0.0052
mapbiomas_pct_forest,opcional,True,0.0669
mapbiomas_pct_non_forest_natural,opcional,True,0.038
mapbiomas_pct_non_vegetated,opcional,True,0.1601
mapbiomas_pct_water,opcional,True,0.0289
fogo_pct_territorio,obrigatoria,True,0.0387
meteo_temp_media,obrigatoria,True,0.0894
meteo_temp_min,obrigatoria,True,0.0875
meteo_temp_max,obrigatoria,True,0.0627
meteo_temp_amplitude,obrigatoria,True,0.0127
meteo_precipitacao,obrigatoria,True,0.0044
meteo_umidade,obrigatoria,True,0.0138
month_sin,obrigatoria,True,0.0122
month_cos,obrigatoria,True,0.0284
fase_covid,obrigatoria,True,0.1827
baseline_srag_municipio,obrigatoria,True,0.398
year_trend,obrigatoria,True,0.1827
