modelo,MAE,RMSE,R2,MAPE_pct,Pearson_r,Spearman_rho,MAE_cv,scenario_id,scenario_label,id,temporal_grouping,municipality_filter,feature_set,label
Poisson_GLM,0.01177,0.02988,0.0848,90.53,0.3083,0.3979,0.012492,S01,monthly__all__social_and_environmental,S01,monthly,all,social_and_environmental,monthly__all__social_and_environmental
Random_Forest,0.01183,0.02918,0.1273,75.73,0.4221,0.3964,0.012911,S01,monthly__all__social_and_environmental,S01,monthly,all,social_and_environmental,monthly__all__social_and_environmental
GradientBoosting,0.00671,0.02827,0.1807,72.22,0.4375,0.4347,0.008873,S01,monthly__all__social_and_environmental,S01,monthly,all,social_and_environmental,monthly__all__social_and_environmental
XGBoost,0.00652,0.02924,0.1236,79.77,0.3825,0.4511,0.008483,S01,monthly__all__social_and_environmental,S01,monthly,all,social_and_environmental,monthly__all__social_and_environmental
Poisson_GLM,0.01211,0.03021,0.0642,88.34,0.2785,0.3552,0.012793,S02,monthly__all__environmental_only,S02,monthly,all,environmental_only,monthly__all__environmental_only
Random_Forest,0.01239,0.02982,0.0886,79.75,0.4095,0.383,0.013259,S02,monthly__all__environmental_only,S02,monthly,all,environmental_only,monthly__all__environmental_only
GradientBoosting,0.00687,0.02787,0.2039,73.77,0.4652,0.4264,0.009103,S02,monthly__all__environmental_only,S02,monthly,all,environmental_only,monthly__all__environmental_only
XGBoost,0.00636,0.02799,0.1969,76.26,0.4799,0.4328,0.008466,S02,monthly__all__environmental_only,S02,monthly,all,environmental_only,monthly__all__environmental_only
Poisson_GLM,0.02794,0.04711,0.0069,91.74,0.1993,0.3035,0.031151,S03,monthly__cases_only__social_and_environmental,S03,monthly,cases_only,social_and_environmental,monthly__cases_only__social_and_environmental
Random_Forest,0.0297,0.04725,0.001,76.51,0.3244,0.2958,0.031207,S03,monthly__cases_only__social_and_environmental,S03,monthly,cases_only,social_and_environmental,monthly__cases_only__social_and_environmental
GradientBoosting,0.01873,0.04714,0.0057,79.61,0.2976,0.4112,0.021333,S03,monthly__cases_only__social_and_environmental,S03,monthly,cases_only,social_and_environmental,monthly__cases_only__social_and_environmental
XGBoost,0.01746,0.04339,0.1576,65.78,0.4118,0.4112,0.021175,S03,monthly__cases_only__social_and_environmental,S03,monthly,cases_only,social_and_environmental,monthly__cases_only__social_and_environmental
Poisson_GLM,0.02756,0.04705,0.0094,93.94,0.1919,0.3127,0.030915,S04,monthly__cases_only__environmental_only,S04,monthly,cases_only,environmental_only,monthly__cases_only__environmental_only
Random_Forest,0.02933,0.04598,0.0539,80.43,0.3187,0.3064,0.03174,S04,monthly__cases_only__environmental_only,S04,monthly,cases_only,environmental_only,monthly__cases_only__environmental_only
GradientBoosting,0.01975,0.04457,0.111,70.34,0.3735,0.3469,0.021759,S04,monthly__cases_only__environmental_only,S04,monthly,cases_only,environmental_only,monthly__cases_only__environmental_only
XGBoost,0.01833,0.04359,0.1497,70.25,0.4224,0.3739,0.021247,S04,monthly__cases_only__environmental_only,S04,monthly,cases_only,environmental_only,monthly__cases_only__environmental_only
Poisson_GLM,0.01348,0.02787,0.0453,133.32,0.4266,0.465,0.009497,S05,seasonal_humidity__all__social_and_environmental,S05,seasonal_humidity,all,social_and_environmental,seasonal_humidity__all__social_and_environmental
Random_Forest,0.01123,0.02556,0.1971,122.32,0.4986,0.5063,0.008463,S05,seasonal_humidity__all__social_and_environmental,S05,seasonal_humidity,all,social_and_environmental,seasonal_humidity__all__social_and_environmental
GradientBoosting,0.01213,0.02854,-0.0011,110.84,0.4246,0.4701,0.009121,S05,seasonal_humidity__all__social_and_environmental,S05,seasonal_humidity,all,social_and_environmental,seasonal_humidity__all__social_and_environmental
XGBoost,0.01071,0.02539,0.2078,91.37,0.516,0.4973,0.007963,S05,seasonal_humidity__all__social_and_environmental,S05,seasonal_humidity,all,social_and_environmental,seasonal_humidity__all__social_and_environmental
Poisson_GLM,0.0135,0.02803,0.0343,120.4,0.3895,0.4247,0.009788,S06,seasonal_humidity__all__environmental_only,S06,seasonal_humidity,all,environmental_only,seasonal_humidity__all__environmental_only
Random_Forest,0.01112,0.02535,0.2098,129.54,0.5154,0.5116,0.008636,S06,seasonal_humidity__all__environmental_only,S06,seasonal_humidity,all,environmental_only,seasonal_humidity__all__environmental_only
GradientBoosting,0.01161,0.02706,0.1,110.15,0.4721,0.4665,0.009467,S06,seasonal_humidity__all__environmental_only,S06,seasonal_humidity,all,environmental_only,seasonal_humidity__all__environmental_only
XGBoost,0.01084,0.02585,0.1783,94.52,0.4958,0.5038,0.008268,S06,seasonal_humidity__all__environmental_only,S06,seasonal_humidity,all,environmental_only,seasonal_humidity__all__environmental_only
Poisson_GLM,0.03081,0.04499,-0.1664,173.04,0.28,0.2521,0.020167,S07,seasonal_humidity__cases_only__social_and_environmental,S07,seasonal_humidity,cases_only,social_and_environmental,seasonal_humidity__cases_only__social_and_environmental
Random_Forest,0.02724,0.04102,0.0301,127.74,0.3708,0.3224,0.019043,S07,seasonal_humidity__cases_only__social_and_environmental,S07,seasonal_humidity,cases_only,social_and_environmental,seasonal_humidity__cases_only__social_and_environmental
GradientBoosting,0.02731,0.045,-0.1673,109.29,0.276,0.2902,0.019372,S07,seasonal_humidity__cases_only__social_and_environmental,S07,seasonal_humidity,cases_only,social_and_environmental,seasonal_humidity__cases_only__social_and_environmental
XGBoost,0.02595,0.04149,0.0078,97.21,0.3555,0.2948,0.017954,S07,seasonal_humidity__cases_only__social_and_environmental,S07,seasonal_humidity,cases_only,social_and_environmental,seasonal_humidity__cases_only__social_and_environmental
Poisson_GLM,0.02983,0.04389,-0.1101,181.6,0.2845,0.272,0.020091,S08,seasonal_humidity__cases_only__environmental_only,S08,seasonal_humidity,cases_only,environmental_only,seasonal_humidity__cases_only__environmental_only
Random_Forest,0.02645,0.03957,0.0973,137.31,0.4232,0.3537,0.019371,S08,seasonal_humidity__cases_only__environmental_only,S08,seasonal_humidity,cases_only,environmental_only,seasonal_humidity__cases_only__environmental_only
GradientBoosting,0.02516,0.04118,0.0226,113.89,0.3925,0.3579,0.02051,S08,seasonal_humidity__cases_only__environmental_only,S08,seasonal_humidity,cases_only,environmental_only,seasonal_humidity__cases_only__environmental_only
XGBoost,0.02488,0.04004,0.0758,105.98,0.3881,0.3439,0.018281,S08,seasonal_humidity__cases_only__environmental_only,S08,seasonal_humidity,cases_only,environmental_only,seasonal_humidity__cases_only__environmental_only
