cod_mun,municipio,populacao,taxa_baseline,taxa_simulada,delta_abs,delta_pct,casos_baseline,casos_simulados,delta_casos
520005,ABADIA DE GOIAS,11887.0,0.0011615208586247569,0.0011917713600670178,3.0250501442260873e-05,2.604387275324313,14,14,0
520010,ABADIANIA,16846.0,0.0027444832717670948,0.0024413875468261136,-0.00030309572494098113,-11.043817539679388,46,41,-5
520013,ACREUNA,21500.0,0.014283097807335493,0.010924176395488188,-0.0033589214118473053,-23.516757058978026,307,235,-72
520015,ADELANDIA,2431.0,1.875805448055728e-05,1.4928046525029182e-05,-3.8300079555280995e-06,-20.417938115586036,0,0,0
520017,AGUA FRIA DE GOIAS,5162.0,0.00038920230722359536,0.0003356216571987748,-5.358065002482055e-05,-13.766786329465063,2,2,0
520020,AGUA LIMPA,1959.0,1.7310551525797846e-05,1.3517597794651402e-05,-3.7929537311464434e-06,-21.911224061774227,0,0,0
520025,AGUAS LINDAS DE GOIAS,200319.0,0.004381055296833588,0.004824633249027805,0.00044357795219421726,10.124911057726518,878,966,88
520030,ALEXANIA,26217.0,0.01821214368846349,0.015292628363268139,-0.0029195153251953525,-16.030596810219127,477,401,-76
520050,ALOANDIA,2042.0,0.0012509981892135861,0.0010772613555114973,-0.00017373683370208877,-13.887856529297201,3,2,-1
520055,ALTO HORIZONTE,5420.0,0.0015679962252912066,0.0011389456521825306,-0.000429050573108676,-27.362985075362232,8,6,-2
520060,ALTO PARAISO DE GOIAS,8716.0,0.0008416444720399011,0.000912640261841054,7.099578980115288e-05,8.435365782071823,7,8,1
520080,ALVORADA DO NORTE,8521.0,1.1621119591657972e-05,1.0549632438719291e-05,-1.0714871529386809e-06,-9.220171468744114,0,0,0
520082,AMARALINA,3431.0,1.2308170929315506e-05,1.3719387338002633e-05,1.411216408687127e-06,11.46568744285069,0,0,0
520085,AMERICANO DO BRASIL,5498.0,0.005630296739907923,0.00762624054181356,0.0019959438019056365,35.450064074922594,31,42,11
520090,AMORINOPOLIS,3311.0,0.0008778594694643356,0.000629628301777722,-0.00024823116768661363,-28.276868487627382,3,2,-1
520110,ANAPOLIS,380325.0,0.09702701681794156,0.11503960936963484,0.018012592551693282,18.56451238266095,36902,43752,6850
520120,ANHANGUERA,986.0,1.5820405766150322e-05,1.411553503079336e-05,-1.7048707353569615e-06,-10.776403339822922,0,0,0
520130,ANICUNS,19719.0,0.013794905925250175,0.014938199239510837,0.0011432933142606627,8.287793483013033,272,295,23
520140,APARECIDA DE GOIANIA,516323.0,0.06928435671669686,0.07198242175619093,0.002698065039494074,3.8941907919076724,35773,37166,1393
520145,APARECIDA DO RIO DOCE,2720.0,0.0013563418217104543,0.0010836365061475811,-0.0002727053155628732,-20.105943147795163,4,3,-1
520150,APORE,4190.0,0.0407737379347821,0.03493446276573866,-0.005839275169043444,-14.321167164961446,171,146,-25
520160,ARACU,3881.0,0.005897732588522097,0.006183710315205729,0.0002859777266836323,4.848943596394814,23,24,1
520170,ARAGARCAS,18822.0,0.017008303429383198,0.011487817258335182,-0.005520486171048016,-32.4575945741357,320,216,-104
520180,ARAGOIANIA,10295.0,0.002365733295271189,0.0023538566408523205,-1.1876654418868562e-05,-0.5020284595312811,24,24,0
520215,ARAGUAPAZ,7518.0,0.002584553062336375,0.0006433397548945947,-0.0019412133074417804,-75.10827832209293,19,5,-14
520235,ARENOPOLIS,3144.0,0.002638852201312793,0.0015648501961184242,-0.0010740020051943687,-40.69958918730149,8,5,-3
520250,ARUANA,8174.0,0.00844809542955135,0.0019398685364240913,-0.0065082268931272585,-77.03780038233882,69,16,-53
520260,AURILANDIA,3492.0,0.0008243635853156302,0.0007108783121568454,-0.00011348527315878485,-13.766410256383887,3,2,-1
520280,AVELINOPOLIS,2750.0,0.012045189195333471,0.01268941413268762,0.0006442249373541497,5.348400319056294,33,35,2
520310,BALIZA,3552.0,1.9602169518091228e-05,8.927395464886052e-06,-1.0674774053205176e-05,-54.457105083971534,0,0,0
520320,BARRO ALTO,9781.0,0.0013500047391757561,0.0012479421564775357,-0.00010206258269822039,-7.560164771016625,13,12,-1
520330,BELA VISTA DE GOIAS,30143.0,0.022480845628430397,0.02664204149966873,0.004161195871238334,18.50996150240843,678,803,125
520340,BOM JARDIM DE GOIAS,8274.0,0.0026417382755975854,0.0018708931164253232,-0.0007708451591722622,-29.17946740949915,22,15,-7
520350,BOM JESUS DE GOIAS,23016.0,0.007459096479214411,0.005708312868965396,-0.001750783610249015,-23.471791994214918,172,131,-41
520355,BONFINOPOLIS,9121.0,1.4146530992372894e-05,1.5710616632646596e-05,1.5640856402737022e-06,11.056319327451934,0,0,0
520357,BONOPOLIS,3446.0,1.1402908964936755e-05,6.313095033225341e-06,-5.0898139317114134e-06,-44.63610072975483,0,0,0
520360,BRAZABRANTES,3708.0,1.549800676692204e-05,1.548095249906911e-05,-1.7054267852930445e-08,-0.11004168542066964,0,0,0
520380,BRITANIA,5718.0,0.0021250583929890423,0.0005194400472950262,-0.001605618345694016,-75.55643416629141,12,3,-9
520390,BURITI ALEGRE,9996.0,0.010523538465488452,0.014134608034896409,0.0036110695694079563,34.31421457003576,105,141,36
520393,BURITI DE GOIAS,2692.0,0.0025012459622809195,0.001690778965461389,-0.0008104669968195305,-32.40253094023807,7,5,-2
520396,BURITINOPOLIS,3291.0,1.8168639204245486e-05,1.212275023127812e-05,-6.045888972967366e-06,-33.27650962189076,0,0,0
520400,CABECEIRAS,7700.0,0.002014051381992309,0.0020366073518845247,2.2555969892215644e-05,1.119930211010961,16,16,0
520410,CACHOEIRA ALTA,11364.0,0.0161227767656464,0.014158453413837688,-0.001964323351808711,-12.183530047964148,183,161,-22
520420,CACHOEIRA DE GOIAS,1446.0,1.095695814655543e-05,8.919222146377638e-06,-2.0377360001777915e-06,-18.59764336891622,0,0,0
