variavel,importancia
cadunico_pct_pop,0.14582333073819054
has_uti,0.08691106950612051
mapbiomas_pct_water,0.07069742548553387
mapbiomas_pct_non_vegetated,0.07068532730015406
mapbiomas_pct_forest,0.06928548214705708
cobertura_aps,0.061191910470380445
mapbiomas_pct_farming,0.05811360793525361
mapbiomas_pct_non_forest_natural,0.05625791306856944
pib_per_capita,0.05141317686145898
pct_pop_60mais,0.04508996342363673
caged_taxa_pop,0.043372591910549235
fogo_pct_territorio,0.04278638318310347
pct_pop_menor12,0.0351628011903232
meteo_temp_amplitude,0.033401951548828905
meteo_temp_max,0.030595311655758645
meteo_temp_min,0.02922771588561191
meteo_temp_media,0.025309075360207312
meteo_umidade,0.025196659501204116
meteo_precipitacao,0.019478302828057868
