variavel,importancia
has_uti,0.39994153
cadunico_pct_pop,0.08269106
meteo_temp_amplitude,0.04095777
pct_pop_menor12,0.040924437
mapbiomas_pct_non_forest_natural,0.040492598
mapbiomas_pct_farming,0.036396712
mapbiomas_pct_forest,0.033174604
mapbiomas_pct_water,0.031848203
pct_pop_60mais,0.03181321
pib_per_capita,0.0312103
meteo_temp_media,0.03078508
mapbiomas_pct_non_vegetated,0.02997009
cobertura_aps,0.029396614
meteo_umidade,0.027736546
fogo_pct_territorio,0.02642544
meteo_temp_max,0.023950163
meteo_precipitacao,0.021813
meteo_temp_min,0.020613354
caged_taxa_pop,0.019859288
