variavel,pct_faltante_janela_modelagem,media,desvio_padrao,minimo,mediana,maximo,spearman_vs_srag_taxa_casos
cobertura_aps,33.3,133.84048239750447,49.93766522867785,28.93,127.73,688.07,-0.35
fogo_pct_territorio,93.1,0.9021099465240642,1.4553608259619482,0.0,0.4053,15.133,0.062
mapbiomas_pct_farming,0.0,69.1627926396316,15.581958967211593,10.8037,73.02485833333333,88.7547,-0.079
mapbiomas_pct_forest,0.0,25.913189813576945,13.505802349517785,5.2642,23.8948,79.4531,-0.013
mapbiomas_pct_non_forest_natural,0.0,1.7294663175876412,2.7360897026745996,0.0,0.5872999999999999,20.2355,0.041
mapbiomas_pct_non_vegetated,0.0,2.0856660464943553,6.621360429395864,0.0813,0.5274749999999999,53.2875,0.252
mapbiomas_pct_water,0.0,1.1088866644385025,1.962729629145285,0.0021,0.37501666666666666,12.2903,0.027
meteo_precipitacao,0.0,3.1536096256684494,3.1786393928571712,0.0,2.5,21.3,-0.06
meteo_temp_amplitude,0.0,18.250113636363636,4.087975017106149,9.2,18.57,30.98,0.066
meteo_temp_max,0.0,34.653180332739154,3.7433642933196256,26.51,34.05,45.42,-0.074
meteo_temp_media,0.0,25.09633689839572,2.5641506350498764,18.36,24.85,33.55,-0.17
meteo_temp_min,0.0,16.40306669637552,3.709794845626334,1.94,17.25,25.34,-0.171
meteo_umidade,0.0,62.40308972073677,17.177867282509762,21.9,65.3,88.6,-0.009
pct_pop_60mais,0.0,16.488413547237077,4.263178575083619,5.0,16.4,29.8,-0.213
pct_pop_menor12,0.0,15.420989304812835,2.1565625359612324,10.3,15.2,22.0,0.136
has_uti,0.0,0.12670825906120023,0.33265822582972593,0.0,0.0,1.0,0.412
cadunico_pct_pop,0.0,48.83157276707328,14.018227296364307,14.394995953092884,47.9244345400642,109.55602536997884,-0.378
caged_taxa_pop,16.8,0.5277604029305587,4.7893920607080895,-69.18631891300953,0.36916830935803474,51.82266009852217,0.118
pib_per_capita,0.0,43814.255160700246,30303.49085369444,8713.149805691362,34384.93897327069,248308.5657084189,0.052
