variavel,importancia
has_uti,0.40158758
cadunico_pct_pop,0.09470314
mapbiomas_pct_farming,0.046126403
cobertura_aps,0.040032998
pct_pop_menor12,0.03807374
mapbiomas_pct_non_forest_natural,0.036519594
mapbiomas_pct_water,0.03566326
mapbiomas_pct_forest,0.0351082
meteo_temp_amplitude,0.03355454
pct_pop_60mais,0.031540178
mapbiomas_pct_non_vegetated,0.031284597
pib_per_capita,0.030347083
fogo_pct_territorio,0.024870265
meteo_temp_media,0.024086254
meteo_umidade,0.022075798
meteo_precipitacao,0.020807935
meteo_temp_max,0.020572102
meteo_temp_min,0.01775352
caged_taxa_pop,0.0152928205
