municipio,cod_mun,date,y_true,pred_Poisson_GLM,pred_Random_Forest,pred_GradientBoosting,pred_XGBoost
ABADIA DE GOIAS,520005,2024-07-01,0.0,0.01822142193475446,0.015820748474790803,0.0028379050233041494,3.7405807e-05
ABADIA DE GOIAS,520005,2024-08-01,0.0,0.0158532925553753,0.02454089205152992,0.004027496924155076,9.5900425e-05
ABADIA DE GOIAS,520005,2024-09-01,0.0,0.006946121773285734,0.015924654439920437,0.0017269601699037365,1.4327089e-05
ABADIA DE GOIAS,520005,2024-10-01,0.0,0.020275369185184647,0.018790151399779402,0.0017242983443171921,1.4408246e-05
ABADIA DE GOIAS,520005,2024-11-01,0.0,0.00609553923954702,0.011782472525653688,0.002128492193641001,2.1768858e-05
ABADIA DE GOIAS,520005,2024-12-01,0.0,0.005858288863018527,0.009690814249468197,0.0019350251787282789,7.6904025e-06
ABADIANIA,520010,2024-07-01,0.0,0.03365336589432001,0.026463213263195225,0.018838806083188886,0.0015831232
ABADIANIA,520010,2024-08-01,0.0,0.031401478706451935,0.02881209673138652,0.014082851279975174,0.0003596822
ABADIANIA,520010,2024-09-01,0.0,0.019776849149379785,0.018598662653155896,0.006655626065548347,0.00031921905
ABADIANIA,520010,2024-10-01,0.0,0.04571907177289104,0.019986184464818063,0.009165544821547958,0.00018876289
ABADIANIA,520010,2024-11-01,0.0,0.015887152710494044,0.02111918823041923,0.017420296978411548,0.0017125995
ABADIANIA,520010,2024-12-01,0.0,0.011803565661357995,0.020149333540830774,0.02263468072769198,0.00030689716
ACREUNA,520013,2024-07-01,0.0,0.02737788654175632,0.03445360554385844,0.014881863852430803,0.0017329408
ACREUNA,520013,2024-08-01,0.0,0.02940320462853828,0.06352328382667621,0.010809709968126227,0.0046927286
ACREUNA,520013,2024-09-01,0.0,0.011213138111386564,0.04675612281985977,0.027056529679347123,0.0032046493
ACREUNA,520013,2024-10-01,0.0,0.02884215983429927,0.024169692012925813,0.011840195513027668,0.0008296788
ACREUNA,520013,2024-11-01,0.0,0.010946000869399041,0.020515685908286868,0.01386538568764517,0.0023514358
ACREUNA,520013,2024-12-01,0.0,0.008702010657697237,0.021336086636763382,0.012174870508209795,0.0020063135
ADELANDIA,520015,2024-07-01,0.0,0.02377372569568021,0.012746060259512441,0.0023417599731184557,9.176598e-06
ADELANDIA,520015,2024-08-01,0.0,0.02137374797926682,0.0327771840893557,0.005693755226674561,3.913476e-05
ADELANDIA,520015,2024-09-01,0.0,0.009696334449022594,0.016161391440887473,0.0026683084668569735,1.42113795e-05
ADELANDIA,520015,2024-10-01,0.0,0.027692654214864006,0.04616776016341783,0.0022098034429138204,3.2444211e-06
ADELANDIA,520015,2024-11-01,0.0,0.009852810166187855,0.019896585205288694,0.0027979907572273396,8.755903e-06
ADELANDIA,520015,2024-12-01,0.0,0.00887169538870182,0.00783573009540136,0.0015093430370778501,2.1975493e-06
AGUA FRIA DE GOIAS,520017,2024-07-01,0.0,0.007695669577148092,0.006089666375903726,0.000917901224539761,2.6804636e-07
